News Search interest
United States; 2008

Interest over time
Week,Health
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+69%
2008-01-20 - 2008-01-26,+13%
2008-01-27 - 2008-02-02,+9%
2008-02-03 - 2008-02-09,-9%
2008-02-10 - 2008-02-16,+24%
2008-02-17 - 2008-02-23,+2%
2008-02-24 - 2008-03-01,+13%
2008-03-02 - 2008-03-08,+33%
2008-03-09 - 2008-03-15,+15%
2008-03-16 - 2008-03-22,-30%
2008-03-23 - 2008-03-29,+44%
2008-03-30 - 2008-04-05,+61%
2008-04-06 - 2008-04-12,+15%
2008-04-13 - 2008-04-19,+33%
2008-04-20 - 2008-04-26,+4%
2008-04-27 - 2008-05-03,-9%
2008-05-04 - 2008-05-10,-4%
2008-05-11 - 2008-05-17,-9%
2008-05-18 - 2008-05-24,+6%
2008-05-25 - 2008-05-31,-2%
2008-06-01 - 2008-06-07,+20%
2008-06-08 - 2008-06-14,+85%
2008-06-15 - 2008-06-21,+6%
2008-06-22 - 2008-06-28,-2%
2008-06-29 - 2008-07-05,+0%
2008-07-06 - 2008-07-12,+26%
2008-07-13 - 2008-07-19,+6%
2008-07-20 - 2008-07-26,+13%
2008-07-27 - 2008-08-02,+0%
2008-08-03 - 2008-08-09,-7%
2008-08-10 - 2008-08-16,-35%
2008-08-17 - 2008-08-23,-9%
2008-08-24 - 2008-08-30,-13%
2008-08-31 - 2008-09-06,-22%
2008-09-07 - 2008-09-13,+6%
2008-09-14 - 2008-09-20,-9%
2008-09-21 - 2008-09-27,-11%
2008-09-28 - 2008-10-04,-9%
2008-10-05 - 2008-10-11,+2%
2008-10-12 - 2008-10-18,-2%
2008-10-19 - 2008-10-25,+13%
2008-10-26 - 2008-11-01,+9%
2008-11-02 - 2008-11-08,-43%
2008-11-09 - 2008-11-15,+44%
2008-11-16 - 2008-11-22,+22%
2008-11-23 - 2008-11-29,-13%
2008-11-30 - 2008-12-06,+50%
2008-12-07 - 2008-12-13,+2%
2008-12-14 - 2008-12-20,-2%
2008-12-21 - 2008-12-27,-24%
2008-12-28 - 2009-01-03,+9%



Top searches
cancer,100
health,70
marijuana,45
salmonella,40
health care,35
flu,30
stem cell,25
breast cancer,25
aids,25
autism,25
diabetes,20
drugs,20
stem cell research,20
smoking,15
vytorin,15
heart,15
tom brady,15
salmonella tomatoes,15
brady injury,15
tom brady injury,10



Rising searches
brady injury,Breakout
salmonella tomatoes,Breakout
tom brady injury,Breakout
vytorin,Breakout
salmonella,+1,550%
tom brady,+450%
vitamin d,+300%
world aids day,+110%
lung cancer,+60%
diabetes,+50%



