Google Shopping interest
United States; Past 90 days

Interest over time
Day,Travel
2014-06-20,+0%
2014-06-21,+8%
2014-06-22,+5%
2014-06-23,+1%
2014-06-24,-3%
2014-06-25,+3%
2014-06-26,+0%
2014-06-27,-5%
2014-06-28,+8%
2014-06-29,+7%
2014-06-30,-1%
2014-07-01,+0%
2014-07-02,+1%
2014-07-03,+5%
2014-07-04,+4%
2014-07-05,+11%
2014-07-06,+11%
2014-07-07,+13%
2014-07-08,+4%
2014-07-09,+3%
2014-07-10,+9%
2014-07-11,+11%
2014-07-12,+14%
2014-07-13,+20%
2014-07-14,+8%
2014-07-15,+11%
2014-07-16,+13%
2014-07-17,+12%
2014-07-18,+20%
2014-07-19,+22%
2014-07-20,+26%
2014-07-21,+12%
2014-07-22,+13%
2014-07-23,+17%
2014-07-24,+16%
2014-07-25,+14%
2014-07-26,+22%
2014-07-27,+21%
2014-07-28,+16%
2014-07-29,+8%
2014-07-30,+20%
2014-07-31,+20%
2014-08-01,+21%
2014-08-02,+32%
2014-08-03,+29%
2014-08-04,+20%
2014-08-05,+14%
2014-08-06,+20%
2014-08-07,+16%
2014-08-08,+21%
2014-08-09,+25%
2014-08-10,+29%
2014-08-11,+17%
2014-08-12,+11%
2014-08-13,+11%
2014-08-14,+13%
2014-08-15,+13%
2014-08-16,+9%
2014-08-17,+12%
2014-08-18,+11%
2014-08-19,+11%
2014-08-20,+4%
2014-08-21,+9%
2014-08-22,+4%
2014-08-23,+11%
2014-08-24,+7%
2014-08-25,+5%
2014-08-26,+5%
2014-08-27,+7%
2014-08-28,+3%
2014-08-29,+1%
2014-08-30,+9%
2014-08-31,+5%
2014-09-01,-4%
2014-09-02,-5%
2014-09-03,-1%
2014-09-04,-3%
2014-09-05,-12%
2014-09-06,-7%
2014-09-07,-20%
2014-09-08,-17%
2014-09-09,-14%
2014-09-10,-17%
2014-09-11,-14%
2014-09-12,-13%
2014-09-13,-12%
2014-09-14,-18%
2014-09-15,-18%
2014-09-16,-18%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
backpack,100
backpacks,50
luggage,20
jansport,20
hotels,15
travel,15
vera bradley,15
jansport backpack,10
flight,10
flights,10
jansport backpacks,5
suitcase,5
girls backpacks,5
car rental,5
southwest,5
school backpacks,5
backpacks for girls,5
delta,5
airplane,5
herschel,5



Rising searches
bookbags,+650%
jansport backpacks,+550%
school backpacks,+550%
backpacks for girls,+350%
girls backpacks,+300%
jansport,+250%
jansport backpack,+250%
backpacks,+200%
herschel,+130%
backpack,+90%



