News Search interest
United States; 2012

Interest over time
Week,Health
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+31%
2012-01-15 - 2012-01-21,+49%
2012-01-22 - 2012-01-28,+7%
2012-01-29 - 2012-02-04,+19%
2012-02-05 - 2012-02-11,+10%
2012-02-12 - 2012-02-18,+13%
2012-02-19 - 2012-02-25,+15%
2012-02-26 - 2012-03-03,+7%
2012-03-04 - 2012-03-10,+6%
2012-03-11 - 2012-03-17,+1%
2012-03-18 - 2012-03-24,+3%
2012-03-25 - 2012-03-31,+6%
2012-04-01 - 2012-04-07,+7%
2012-04-08 - 2012-04-14,+10%
2012-04-15 - 2012-04-21,+7%
2012-04-22 - 2012-04-28,+12%
2012-04-29 - 2012-05-05,+10%
2012-05-06 - 2012-05-12,+9%
2012-05-13 - 2012-05-19,+4%
2012-05-20 - 2012-05-26,+4%
2012-05-27 - 2012-06-02,+6%
2012-06-03 - 2012-06-09,+7%
2012-06-10 - 2012-06-16,+4%
2012-06-17 - 2012-06-23,+13%
2012-06-24 - 2012-06-30,+13%
2012-07-01 - 2012-07-07,-4%
2012-07-08 - 2012-07-14,+1%
2012-07-15 - 2012-07-21,+3%
2012-07-22 - 2012-07-28,-4%
2012-07-29 - 2012-08-04,-6%
2012-08-05 - 2012-08-11,-6%
2012-08-12 - 2012-08-18,+10%
2012-08-19 - 2012-08-25,+9%
2012-08-26 - 2012-09-01,+0%
2012-09-02 - 2012-09-08,-1%
2012-09-09 - 2012-09-15,+7%
2012-09-16 - 2012-09-22,+3%
2012-09-23 - 2012-09-29,+9%
2012-09-30 - 2012-10-06,+13%
2012-10-07 - 2012-10-13,+16%
2012-10-14 - 2012-10-20,+15%
2012-10-21 - 2012-10-27,+4%
2012-10-28 - 2012-11-03,-1%
2012-11-04 - 2012-11-10,+22%
2012-11-11 - 2012-11-17,+28%
2012-11-18 - 2012-11-24,+6%
2012-11-25 - 2012-12-01,+27%
2012-12-02 - 2012-12-08,+31%
2012-12-09 - 2012-12-15,+12%
2012-12-16 - 2012-12-22,+12%
2012-12-23 - 2012-12-29,+1%
2012-12-30 - 2013-01-05,-4%



Top searches
marijuana,100
health,95
cancer,75
hospital,40
health care,35
sopa,35
healthcare,25
hiv,25
diabetes,20
autism,20
drugs,15
heart,15
breast cancer,15
flu,15
vaccine,15
stem cell,15
west nile,15
a&m,15
menstrual cycle,15
meningitis,10



Rising searches
menstrual cycle,Breakout
tamiflu,Breakout
asperger syndrome,+3,550%
west nile,+800%
meningitis,+750%
blackout,+190%
birth control,+110%
weed,+100%
adhd,+80%
marijuana legalization,+60%



