Image Search interest
United States; 2013

Interest over time
Week,Food & Drink
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-1%
2013-01-20 - 2013-01-26,+4%
2013-01-27 - 2013-02-02,+3%
2013-02-03 - 2013-02-09,+4%
2013-02-10 - 2013-02-16,+4%
2013-02-17 - 2013-02-23,+4%
2013-02-24 - 2013-03-02,+4%
2013-03-03 - 2013-03-09,+4%
2013-03-10 - 2013-03-16,+6%
2013-03-17 - 2013-03-23,+8%
2013-03-24 - 2013-03-30,+6%
2013-03-31 - 2013-04-06,+1%
2013-04-07 - 2013-04-13,+3%
2013-04-14 - 2013-04-20,+4%
2013-04-21 - 2013-04-27,+5%
2013-04-28 - 2013-05-04,+5%
2013-05-05 - 2013-05-11,+5%
2013-05-12 - 2013-05-18,+5%
2013-05-19 - 2013-05-25,+5%
2013-05-26 - 2013-06-01,+6%
2013-06-02 - 2013-06-08,+6%
2013-06-09 - 2013-06-15,+3%
2013-06-16 - 2013-06-22,+6%
2013-06-23 - 2013-06-29,+5%
2013-06-30 - 2013-07-06,+6%
2013-07-07 - 2013-07-13,+4%
2013-07-14 - 2013-07-20,+4%
2013-07-21 - 2013-07-27,+4%
2013-07-28 - 2013-08-03,+4%
2013-08-04 - 2013-08-10,+5%
2013-08-11 - 2013-08-17,+3%
2013-08-18 - 2013-08-24,+1%
2013-08-25 - 2013-08-31,+1%
2013-09-01 - 2013-09-07,+3%
2013-09-08 - 2013-09-14,+1%
2013-09-15 - 2013-09-21,+4%
2013-09-22 - 2013-09-28,+6%
2013-09-29 - 2013-10-05,+1%
2013-10-06 - 2013-10-12,+4%
2013-10-13 - 2013-10-19,+3%
2013-10-20 - 2013-10-26,+5%
2013-10-27 - 2013-11-02,+5%
2013-11-03 - 2013-11-09,+10%
2013-11-10 - 2013-11-16,+10%
2013-11-17 - 2013-11-23,+14%
2013-11-24 - 2013-11-30,+27%
2013-12-01 - 2013-12-07,+1%
2013-12-08 - 2013-12-14,+11%
2013-12-15 - 2013-12-21,+16%
2013-12-22 - 2013-12-28,+14%
2013-12-29 - 2014-01-04,+4%



Top searches
cake,100
chicken,50
food,45
chocolate,45
cakes,40
candy,35
pizza,35
beer,35
cheese,30
fruit,25
cupcakes,25
coffee,25
cookies,20
salad,20
ice cream,20
wine,15
bread,15
birthday cake,15
rice,15
tea,15



Rising searches
nigella lawson,+250%
minecraft cake,+180%
gordon ramsay,+130%
vine,+120%
frozen,+80%
paula deen,+80%
chive,+60%
mac miller,+60%
quinoa,+60%
macaroons,+50%



