YouTube Search interest
United States; Past 90 days

Interest over time
Day,Shopping
2014-06-20,+0%
2014-06-21,+2%
2014-06-22,+3%
2014-06-23,+0%
2014-06-24,-3%
2014-06-25,+0%
2014-06-26,+0%
2014-06-27,-1%
2014-06-28,+3%
2014-06-29,-3%
2014-06-30,+4%
2014-07-01,+2%
2014-07-02,+0%
2014-07-03,-2%
2014-07-04,-1%
2014-07-05,+1%
2014-07-06,+0%
2014-07-07,+1%
2014-07-08,+2%
2014-07-09,+2%
2014-07-10,+3%
2014-07-11,+1%
2014-07-12,+1%
2014-07-13,+1%
2014-07-14,-3%
2014-07-15,-4%
2014-07-16,-2%
2014-07-17,-2%
2014-07-18,-3%
2014-07-19,+0%
2014-07-20,-1%
2014-07-21,+1%
2014-07-22,+0%
2014-07-23,+0%
2014-07-24,-1%
2014-07-25,+2%
2014-07-26,+1%
2014-07-27,+3%
2014-07-28,+1%
2014-07-29,-1%
2014-07-30,-1%
2014-07-31,-2%
2014-08-01,+0%
2014-08-02,-1%
2014-08-03,-1%
2014-08-04,+1%
2014-08-05,+0%
2014-08-06,+1%
2014-08-07,+1%
2014-08-08,+0%
2014-08-09,+0%
2014-08-10,-4%
2014-08-11,-1%
2014-08-12,-1%
2014-08-13,-4%
2014-08-14,-2%
2014-08-15,+0%
2014-08-16,+0%
2014-08-17,+4%
2014-08-18,+4%
2014-08-19,+8%
2014-08-20,+7%
2014-08-21,+8%
2014-08-22,+10%
2014-08-23,+8%
2014-08-24,+5%
2014-08-25,+1%
2014-08-26,+1%
2014-08-27,+1%
2014-08-28,+1%
2014-08-29,+2%
2014-08-30,+5%
2014-08-31,+2%
2014-09-01,+0%
2014-09-02,-3%
2014-09-03,-7%
2014-09-04,-7%
2014-09-05,-7%
2014-09-06,+2%
2014-09-07,+2%
2014-09-08,-8%
2014-09-09,-4%
2014-09-10,-7%
2014-09-11,-8%
2014-09-12,-3%
2014-09-13,-3%
2014-09-14,+2%
2014-09-15,-5%
2014-09-16,-11%
2014-09-17,-9%
2014-09-18, 
2014-09-19, 



Top searches
lego,100
minecraft,100
xbox 360,60
ice bucket challenge,55
barbie,50
diamond minecart,50
tyler oakley,40
transformers,35
minecraft xbox,35
the diamond minecart,30
toys,30
peppa pig,30
minecraft xbox 360,25
nerf,25
shoes,25
ps4,25
lego movie,20
feet,20
nike,20
xbox one,20



Rising searches
ice bucket challenge,Breakout
joan rivers,+1,000%
dollhouse melanie martinez,+450%
dollhouse,+250%
popularmmos,+110%
jc caylen,+80%
tyler oakley,+70%
the diamond minecart,+60%
diamond minecart,+50%
game grumps,+50%



