News Search interest
United States; Past 30 days

Interest over time
Day,Computers & Electronics
2014-08-19,+0%
2014-08-20,-4%
2014-08-21,-6%
2014-08-22,-2%
2014-08-23,-11%
2014-08-24,-7%
2014-08-25,+4%
2014-08-26,-2%
2014-08-27,+4%
2014-08-28,+6%
2014-08-29,-2%
2014-08-30,-6%
2014-08-31,-11%
2014-09-01,-6%
2014-09-02,+4%
2014-09-03,+20%
2014-09-04,+4%
2014-09-05,+0%
2014-09-06,-6%
2014-09-07,-11%
2014-09-08,-2%
2014-09-09,+85%
2014-09-10,+30%
2014-09-11,+17%
2014-09-12,+31%
2014-09-13,+2%
2014-09-14,-2%
2014-09-15,+11%
2014-09-16,+19%
2014-09-17, 
2014-09-18, 



Top searches
apple,100
iphone,40
xbox,40
galaxy,30
xbox one,25
ps4,25
microsoft,20
apple inc.,20
windows,20
google,15
ios,15
playstation,15
ipad,15
samsung galaxy,15
nintendo,15
alibaba,15
iphone 6,10
minecraft,10
galaxy note 4,10
ios 8,10



Rising searches
alibaba group,+1,200%
icloud,+700%
alibaba,+350%
iphone 6,+200%
apple store,+180%
apple,+120%
galaxy note 4,+120%
iphone,+110%
destiny,+90%
ios 8,+90%



