News Search interest
United States; 2009

Interest over time
Week,Beauty & Fitness
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+50%
2009-01-18 - 2009-01-24,+139%
2009-01-25 - 2009-01-31,+232%
2009-02-01 - 2009-02-07,-32%
2009-02-08 - 2009-02-14,-32%
2009-02-15 - 2009-02-21,+36%
2009-02-22 - 2009-02-28,+125%
2009-03-01 - 2009-03-07,+7%
2009-03-08 - 2009-03-14,+18%
2009-03-15 - 2009-03-21,+43%
2009-03-22 - 2009-03-28,+29%
2009-03-29 - 2009-04-04,+61%
2009-04-05 - 2009-04-11,-7%
2009-04-12 - 2009-04-18,+39%
2009-04-19 - 2009-04-25,+257%
2009-04-26 - 2009-05-02,+21%
2009-05-03 - 2009-05-09,+139%
2009-05-10 - 2009-05-16,+157%
2009-05-17 - 2009-05-23,+0%
2009-05-24 - 2009-05-30,+11%
2009-05-31 - 2009-06-06,+0%
2009-06-07 - 2009-06-13,+64%
2009-06-14 - 2009-06-20,+25%
2009-06-21 - 2009-06-27,+0%
2009-06-28 - 2009-07-04,-7%
2009-07-05 - 2009-07-11,-4%
2009-07-12 - 2009-07-18,+4%
2009-07-19 - 2009-07-25,+4%
2009-07-26 - 2009-08-01,+21%
2009-08-02 - 2009-08-08,+75%
2009-08-09 - 2009-08-15,+18%
2009-08-16 - 2009-08-22,+18%
2009-08-23 - 2009-08-29,+121%
2009-08-30 - 2009-09-05,+25%
2009-09-06 - 2009-09-12,+25%
2009-09-13 - 2009-09-19,+11%
2009-09-20 - 2009-09-26,+79%
2009-09-27 - 2009-10-03,+4%
2009-10-04 - 2009-10-10,-4%
2009-10-11 - 2009-10-17,+32%
2009-10-18 - 2009-10-24,-4%
2009-10-25 - 2009-10-31,-7%
2009-11-01 - 2009-11-07,+21%
2009-11-08 - 2009-11-14,+68%
2009-11-15 - 2009-11-21,+21%
2009-11-22 - 2009-11-28,+11%
2009-11-29 - 2009-12-05,+0%
2009-12-06 - 2009-12-12,+36%
2009-12-13 - 2009-12-19,+11%
2009-12-20 - 2009-12-26,+0%
2009-12-27 - 2010-01-02,+64%



Top searches
miss california,100
miss usa,50
hair,40
cutler,40
america,35
jay cutler,35
fashion,30
miss america,30
heidi klum,25
gisele,20
bundchen,20
2009 miss america,20
gisele bundchen,20
tattoo,20
tattoos,15
fitness,15
tyra banks,15
hydroxycut,15
mariana bridi,15
miss usa 2009,15



Rising searches
2009 miss america,Breakout
hydroxycut,Breakout
mariana bridi,Breakout
miss california,Breakout
miss usa 2009,Breakout
jay cutler,+850%
cutler,+800%
acai,+750%
heidi klum,+170%
fitness,+90%



