News Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,Beauty & Fitness
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,-9%
2008-01-20 - 2008-01-26,-18%
2008-01-27 - 2008-02-02,+218%
2008-02-03 - 2008-02-09,+9%
2008-02-10 - 2008-02-16,+9%
2008-02-17 - 2008-02-23,-27%
2008-02-24 - 2008-03-01,+136%
2008-03-02 - 2008-03-08,+0%
2008-03-09 - 2008-03-15,-18%
2008-03-16 - 2008-03-22,-45%
2008-03-23 - 2008-03-29,+27%
2008-03-30 - 2008-04-05,+36%
2008-04-06 - 2008-04-12,+155%
2008-04-13 - 2008-04-19,+118%
2008-04-20 - 2008-04-26,-9%
2008-04-27 - 2008-05-03,-36%
2008-05-04 - 2008-05-10,-18%
2008-05-11 - 2008-05-17,-9%
2008-05-18 - 2008-05-24,-36%
2008-05-25 - 2008-05-31,-18%
2008-06-01 - 2008-06-07,+64%
2008-06-08 - 2008-06-14,-18%
2008-06-15 - 2008-06-21,+27%
2008-06-22 - 2008-06-28,+9%
2008-06-29 - 2008-07-05,+245%
2008-07-06 - 2008-07-12,+55%
2008-07-13 - 2008-07-19,+809%
2008-07-20 - 2008-07-26,+45%
2008-07-27 - 2008-08-02,+27%
2008-08-03 - 2008-08-09,+9%
2008-08-10 - 2008-08-16,+18%
2008-08-17 - 2008-08-23,-9%
2008-08-24 - 2008-08-30,-36%
2008-08-31 - 2008-09-06,-45%
2008-09-07 - 2008-09-13,+55%
2008-09-14 - 2008-09-20,+45%
2008-09-21 - 2008-09-27,+0%
2008-09-28 - 2008-10-04,-36%
2008-10-05 - 2008-10-11,-27%
2008-10-12 - 2008-10-18,-27%
2008-10-19 - 2008-10-25,+18%
2008-10-26 - 2008-11-01,-27%
2008-11-02 - 2008-11-08,-55%
2008-11-09 - 2008-11-15,-18%
2008-11-16 - 2008-11-22,+0%
2008-11-23 - 2008-11-29,-27%
2008-11-30 - 2008-12-06,+0%
2008-12-07 - 2008-12-13,+0%
2008-12-14 - 2008-12-20,+82%
2008-12-21 - 2008-12-27,+91%
2008-12-28 - 2009-01-03,+45%
2009-01-04 - 2009-01-10,+27%
2009-01-11 - 2009-01-17,+91%
2009-01-18 - 2009-01-24,+209%
2009-01-25 - 2009-01-31,+345%
2009-02-01 - 2009-02-07,-18%
2009-02-08 - 2009-02-14,-9%
2009-02-15 - 2009-02-21,+73%
2009-02-22 - 2009-02-28,+200%
2009-03-01 - 2009-03-07,+36%
2009-03-08 - 2009-03-14,+55%
2009-03-15 - 2009-03-21,+91%
2009-03-22 - 2009-03-28,+64%
2009-03-29 - 2009-04-04,+118%
2009-04-05 - 2009-04-11,+18%
2009-04-12 - 2009-04-18,+82%
2009-04-19 - 2009-04-25,+364%
2009-04-26 - 2009-05-02,+64%
2009-05-03 - 2009-05-09,+209%
2009-05-10 - 2009-05-16,+236%
2009-05-17 - 2009-05-23,+27%
2009-05-24 - 2009-05-30,+45%
2009-05-31 - 2009-06-06,+27%
2009-06-07 - 2009-06-13,+118%
2009-06-14 - 2009-06-20,+64%
2009-06-21 - 2009-06-27,+27%
2009-06-28 - 2009-07-04,+18%
2009-07-05 - 2009-07-11,+27%
2009-07-12 - 2009-07-18,+36%
2009-07-19 - 2009-07-25,+36%
2009-07-26 - 2009-08-01,+64%
2009-08-02 - 2009-08-08,+136%
2009-08-09 - 2009-08-15,+55%
2009-08-16 - 2009-08-22,+64%
2009-08-23 - 2009-08-29,+182%
2009-08-30 - 2009-09-05,+64%
2009-09-06 - 2009-09-12,+64%
2009-09-13 - 2009-09-19,+45%
2009-09-20 - 2009-09-26,+127%
2009-09-27 - 2009-10-03,+36%
2009-10-04 - 2009-10-10,+27%
2009-10-11 - 2009-10-17,+82%
2009-10-18 - 2009-10-24,+27%
2009-10-25 - 2009-10-31,+27%
2009-11-01 - 2009-11-07,+64%
2009-11-08 - 2009-11-14,+127%
2009-11-15 - 2009-11-21,+55%
2009-11-22 - 2009-11-28,+45%
2009-11-29 - 2009-12-05,+36%
2009-12-06 - 2009-12-12,+82%
2009-12-13 - 2009-12-19,+45%
2009-12-20 - 2009-12-26,+27%
2009-12-27 - 2010-01-02,+109%
2010-01-03 - 2010-01-09,+55%
2010-01-10 - 2010-01-16,+55%
2010-01-17 - 2010-01-23,+82%
2010-01-24 - 2010-01-30,+64%
2010-01-31 - 2010-02-06,+136%
2010-02-07 - 2010-02-13,+100%
2010-02-14 - 2010-02-20,+64%
2010-02-21 - 2010-02-27,+27%
2010-02-28 - 2010-03-06,+91%
2010-03-07 - 2010-03-13,+73%
2010-03-14 - 2010-03-20,+82%
2010-03-21 - 2010-03-27,+36%
2010-03-28 - 2010-04-03,+36%
2010-04-04 - 2010-04-10,+18%
2010-04-11 - 2010-04-17,+36%
2010-04-18 - 2010-04-24,+73%
2010-04-25 - 2010-05-01,+64%
2010-05-02 - 2010-05-08,+18%
2010-05-09 - 2010-05-15,+218%
2010-05-16 - 2010-05-22,+645%
2010-05-23 - 2010-05-29,+36%
2010-05-30 - 2010-06-05,+0%
2010-06-06 - 2010-06-12,+9%
2010-06-13 - 2010-06-19,+18%
2010-06-20 - 2010-06-26,+18%
2010-06-27 - 2010-07-03,+9%
2010-07-04 - 2010-07-10,+18%
2010-07-11 - 2010-07-17,+55%
2010-07-18 - 2010-07-24,+18%
2010-07-25 - 2010-07-31,+18%
2010-08-01 - 2010-08-07,+82%
2010-08-08 - 2010-08-14,+36%
2010-08-15 - 2010-08-21,+100%
2010-08-22 - 2010-08-28,+191%
2010-08-29 - 2010-09-04,+36%
2010-09-05 - 2010-09-11,+27%
2010-09-12 - 2010-09-18,+45%
2010-09-19 - 2010-09-25,+18%
2010-09-26 - 2010-10-02,+18%
2010-10-03 - 2010-10-09,+36%
2010-10-10 - 2010-10-16,+27%
2010-10-17 - 2010-10-23,+18%
2010-10-24 - 2010-10-30,+27%
2010-10-31 - 2010-11-06,+0%
2010-11-07 - 2010-11-13,+36%
2010-11-14 - 2010-11-20,+36%
2010-11-21 - 2010-11-27,+36%
2010-11-28 - 2010-12-04,+45%
2010-12-05 - 2010-12-11,+36%
2010-12-12 - 2010-12-18,+36%
2010-12-19 - 2010-12-25,+27%
2010-12-26 - 2011-01-01,+36%
2011-01-02 - 2011-01-08,+64%
2011-01-09 - 2011-01-15,+64%
2011-01-16 - 2011-01-22,+173%
2011-01-23 - 2011-01-29,+127%
2011-01-30 - 2011-02-05,+73%
2011-02-06 - 2011-02-12,+64%
2011-02-13 - 2011-02-19,+82%
2011-02-20 - 2011-02-26,+109%
2011-02-27 - 2011-03-05,+136%
2011-03-06 - 2011-03-12,+45%
2011-03-13 - 2011-03-19,+36%
2011-03-20 - 2011-03-26,+55%
2011-03-27 - 2011-04-02,+55%
2011-04-03 - 2011-04-09,+45%
2011-04-10 - 2011-04-16,+73%
2011-04-17 - 2011-04-23,+64%
2011-04-24 - 2011-04-30,+64%
2011-05-01 - 2011-05-07,+55%
2011-05-08 - 2011-05-14,+73%
2011-05-15 - 2011-05-21,+64%
2011-05-22 - 2011-05-28,+64%
2011-05-29 - 2011-06-04,+64%
2011-06-05 - 2011-06-11,+82%
2011-06-12 - 2011-06-18,+73%
2011-06-19 - 2011-06-25,+118%
2011-06-26 - 2011-07-02,+73%
2011-07-03 - 2011-07-09,+55%
2011-07-10 - 2011-07-16,+55%
2011-07-17 - 2011-07-23,+64%
2011-07-24 - 2011-07-30,+100%
2011-07-31 - 2011-08-06,+64%
2011-08-07 - 2011-08-13,+64%
2011-08-14 - 2011-08-20,+64%
2011-08-21 - 2011-08-27,+36%
2011-08-28 - 2011-09-03,+45%
2011-09-04 - 2011-09-10,+82%
2011-09-11 - 2011-09-17,+200%
2011-09-18 - 2011-09-24,+91%
2011-09-25 - 2011-10-01,+73%
2011-10-02 - 2011-10-08,+55%
2011-10-09 - 2011-10-15,+64%
2011-10-16 - 2011-10-22,+55%
2011-10-23 - 2011-10-29,+64%
2011-10-30 - 2011-11-05,+55%
2011-11-06 - 2011-11-12,+64%
2011-11-13 - 2011-11-19,+55%
2011-11-20 - 2011-11-26,+100%
2011-11-27 - 2011-12-03,+100%
2011-12-04 - 2011-12-10,+73%
2011-12-11 - 2011-12-17,+73%
2011-12-18 - 2011-12-24,+91%
2011-12-25 - 2011-12-31,+100%
2012-01-01 - 2012-01-07,+100%
2012-01-08 - 2012-01-14,+118%
2012-01-15 - 2012-01-21,+155%
2012-01-22 - 2012-01-28,+109%
2012-01-29 - 2012-02-04,+91%
2012-02-05 - 2012-02-11,+127%
2012-02-12 - 2012-02-18,+136%
2012-02-19 - 2012-02-25,+118%
2012-02-26 - 2012-03-03,+145%
2012-03-04 - 2012-03-10,+73%
2012-03-11 - 2012-03-17,+64%
2012-03-18 - 2012-03-24,+73%
2012-03-25 - 2012-03-31,+82%
2012-04-01 - 2012-04-07,+109%
2012-04-08 - 2012-04-14,+91%
2012-04-15 - 2012-04-21,+82%
2012-04-22 - 2012-04-28,+82%
2012-04-29 - 2012-05-05,+136%
2012-05-06 - 2012-05-12,+118%
2012-05-13 - 2012-05-19,+91%
2012-05-20 - 2012-05-26,+73%
2012-05-27 - 2012-06-02,+164%
2012-06-03 - 2012-06-09,+182%
2012-06-10 - 2012-06-16,+109%
2012-06-17 - 2012-06-23,+91%
2012-06-24 - 2012-06-30,+91%
2012-07-01 - 2012-07-07,+73%
2012-07-08 - 2012-07-14,+91%
2012-07-15 - 2012-07-21,+100%
2012-07-22 - 2012-07-28,+82%
2012-07-29 - 2012-08-04,+82%
2012-08-05 - 2012-08-11,+100%
2012-08-12 - 2012-08-18,+100%
2012-08-19 - 2012-08-25,+118%
2012-08-26 - 2012-09-01,+82%
2012-09-02 - 2012-09-08,+136%
2012-09-09 - 2012-09-15,+127%
2012-09-16 - 2012-09-22,+127%
2012-09-23 - 2012-09-29,+118%
2012-09-30 - 2012-10-06,+82%
2012-10-07 - 2012-10-13,+118%
2012-10-14 - 2012-10-20,+155%
2012-10-21 - 2012-10-27,+118%
2012-10-28 - 2012-11-03,+64%
2012-11-04 - 2012-11-10,+82%
2012-11-11 - 2012-11-17,+218%
2012-11-18 - 2012-11-24,+164%
2012-11-25 - 2012-12-01,+127%
2012-12-02 - 2012-12-08,+164%
2012-12-09 - 2012-12-15,+100%
2012-12-16 - 2012-12-22,+209%
2012-12-23 - 2012-12-29,+145%
2012-12-30 - 2013-01-05,+173%
2013-01-06 - 2013-01-12,+318%
2013-01-13 - 2013-01-19,+455%
2013-01-20 - 2013-01-26,+182%
2013-01-27 - 2013-02-02,+136%
2013-02-03 - 2013-02-09,+136%
2013-02-10 - 2013-02-16,+164%
2013-02-17 - 2013-02-23,+191%
2013-02-24 - 2013-03-02,+218%
2013-03-03 - 2013-03-09,+182%
2013-03-10 - 2013-03-16,+127%
2013-03-17 - 2013-03-23,+164%
2013-03-24 - 2013-03-30,+127%
2013-03-31 - 2013-04-06,+155%
2013-04-07 - 2013-04-13,+145%
2013-04-14 - 2013-04-20,+82%
2013-04-21 - 2013-04-27,+127%
2013-04-28 - 2013-05-04,+136%
2013-05-05 - 2013-05-11,+118%
2013-05-12 - 2013-05-18,+109%
2013-05-19 - 2013-05-25,+109%
2013-05-26 - 2013-06-01,+136%
2013-06-02 - 2013-06-08,+127%
2013-06-09 - 2013-06-15,+109%
2013-06-16 - 2013-06-22,+227%
2013-06-23 - 2013-06-29,+118%
2013-06-30 - 2013-07-06,+118%
2013-07-07 - 2013-07-13,+118%
2013-07-14 - 2013-07-20,+118%
2013-07-21 - 2013-07-27,+136%
2013-07-28 - 2013-08-03,+136%
2013-08-04 - 2013-08-10,+136%
2013-08-11 - 2013-08-17,+164%
2013-08-18 - 2013-08-24,+164%
2013-08-25 - 2013-08-31,+136%
2013-09-01 - 2013-09-07,+173%
2013-09-08 - 2013-09-14,+173%
2013-09-15 - 2013-09-21,+282%
2013-09-22 - 2013-09-28,+173%
2013-09-29 - 2013-10-05,+145%
2013-10-06 - 2013-10-12,+136%
2013-10-13 - 2013-10-19,+127%
2013-10-20 - 2013-10-26,+173%
2013-10-27 - 2013-11-02,+155%
2013-11-03 - 2013-11-09,+155%
2013-11-10 - 2013-11-16,+218%
2013-11-17 - 2013-11-23,+118%
2013-11-24 - 2013-11-30,+127%
2013-12-01 - 2013-12-07,+109%
2013-12-08 - 2013-12-14,+136%
2013-12-15 - 2013-12-21,+155%
2013-12-22 - 2013-12-28,+155%
2013-12-29 - 2014-01-04,+155%
2014-01-05 - 2014-01-11,+191%
2014-01-12 - 2014-01-18,+173%
2014-01-19 - 2014-01-25,+145%
2014-01-26 - 2014-02-01,+118%
2014-02-02 - 2014-02-08,+127%
2014-02-09 - 2014-02-15,+136%
2014-02-16 - 2014-02-22,+136%
2014-02-23 - 2014-03-01,+127%
2014-03-02 - 2014-03-08,+145%
2014-03-09 - 2014-03-15,+100%
2014-03-16 - 2014-03-22,+118%
2014-03-23 - 2014-03-29,+127%
2014-03-30 - 2014-04-05,+127%
2014-04-06 - 2014-04-12,+118%
2014-04-13 - 2014-04-19,+136%
2014-04-20 - 2014-04-26,+164%
2014-04-27 - 2014-05-03,+155%
2014-05-04 - 2014-05-10,+136%
2014-05-11 - 2014-05-17,+136%
2014-05-18 - 2014-05-24,+118%
2014-05-25 - 2014-05-31,+136%
2014-06-01 - 2014-06-07,+127%
2014-06-08 - 2014-06-14,+164%
2014-06-15 - 2014-06-21,+118%
2014-06-22 - 2014-06-28,+109%
2014-06-29 - 2014-07-05,+109%
2014-07-06 - 2014-07-12,+100%
2014-07-13 - 2014-07-19,+100%
2014-07-20 - 2014-07-26,+109%
2014-07-27 - 2014-08-02,+118%
2014-08-03 - 2014-08-09,+100%
2014-08-10 - 2014-08-16,+118%
2014-08-17 - 2014-08-23,+118%
2014-08-24 - 2014-08-30,+118%
2014-08-31 - 2014-09-06,+164%
2014-09-07 - 2014-09-13,+109%
2014-09-14 - 2014-09-20,+282%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 



Top searches
miss,100
hair,80
tattoo,40
harry styles,30
tattoos,30
america,25
fashion,25
miss america,25
fitness,20
miss usa,20
yoga,15
miss universe,15
weight loss,15
diet,15
cutler,15
miss california,15
face,10
klum,10
hairstyles,10
hostess,10



Rising searches
harry styles,Breakout
hostess,Breakout
miss america,+1,650%
face,+450%
haircut,+350%
hairstyles,+250%
miranda kerr,+250%
makeup,+190%
tattoos,+180%
nails,+130%



