News Search interest
United States; Past 90 days

Interest over time
Day,Finance
2014-06-19,+0%
2014-06-20,-11%
2014-06-21,-38%
2014-06-22,-48%
2014-06-23,-14%
2014-06-24,-11%
2014-06-25,-10%
2014-06-26,-12%
2014-06-27,-15%
2014-06-28,-40%
2014-06-29,-46%
2014-06-30,-19%
2014-07-01,-17%
2014-07-02,-10%
2014-07-03,-16%
2014-07-04,-46%
2014-07-05,-48%
2014-07-06,-47%
2014-07-07,-14%
2014-07-08,-17%
2014-07-09,-23%
2014-07-10,-10%
2014-07-11,-20%
2014-07-12,-43%
2014-07-13,-49%
2014-07-14,+7%
2014-07-15,+23%
2014-07-16,+12%
2014-07-17,-10%
2014-07-18,-20%
2014-07-19,-38%
2014-07-20,-36%
2014-07-21,-5%
2014-07-22,-6%
2014-07-23,+0%
2014-07-24,-7%
2014-07-25,-12%
2014-07-26,-36%
2014-07-27,-47%
2014-07-28,-21%
2014-07-29,-11%
2014-07-30,-6%
2014-07-31,+1%
2014-08-01,-2%
2014-08-02,-36%
2014-08-03,-41%
2014-08-04,-7%
2014-08-05,-4%
2014-08-06,-5%
2014-08-07,-4%
2014-08-08,-15%
2014-08-09,-42%
2014-08-10,-51%
2014-08-11,-32%
2014-08-12,-30%
2014-08-13,-16%
2014-08-14,-25%
2014-08-15,-19%
2014-08-16,-42%
2014-08-17,-47%
2014-08-18,-19%
2014-08-19,-21%
2014-08-20,-17%
2014-08-21,-14%
2014-08-22,-15%
2014-08-23,-41%
2014-08-24,-56%
2014-08-25,-21%
2014-08-26,-20%
2014-08-27,-19%
2014-08-28,-11%
2014-08-29,-20%
2014-08-30,-49%
2014-08-31,-51%
2014-09-01,-49%
2014-09-02,-21%
2014-09-03,-14%
2014-09-04,-20%
2014-09-05,-23%
2014-09-06,-42%
2014-09-07,-56%
2014-09-08,-25%
2014-09-09,-25%
2014-09-10,-19%
2014-09-11,-17%
2014-09-12,-15%
2014-09-13,-43%
2014-09-14,-54%
2014-09-15,-19%
2014-09-16,-14%
2014-09-17, 
2014-09-18, 



Top searches
bank,100
stock,80
credit,45
insurance,40
mortgage,30
chase,25
bank of america,25
wells fargo,20
irs,20
tax,15
stocks,15
credit union,15
finance,15
dollar,15
stock market,15
credit card,10
gold,10
money,10
brics,10
fx,10



Rising searches
banco espírito santo,Breakout
dan markel,Breakout
markel,Breakout
tyrant fx,Breakout
brics,+2,500%
mortgage loans,+1,900%
inversion,+550%
irs scandal,+250%
downton abbey,+120%
aapl stock,+70%



