Web Search interest
United States; Past 7 days

Interest over time
Day,Internet & Telecom
2014-09-11,+0%
2014-09-12,+8%
2014-09-13,-5%
2014-09-14,-11%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
iphone,100
iphone 6,75
google,65
mail,40
verizon,35
yahoo,30
yahoo mail,30
at&t,20
verizon wireless,15
att,15
apple,15
aol,10
sprint,10
email,10
android,10
tumblr,10
twitter,10
msn,10
app,10
samsung,10



Rising searches
iphone 6 plus,+450%
att iphone 6,+350%
verizon iphone 6,+300%
at&t iphone 6,+200%
iphone 6 price,+130%
at&t wireless,+90%
iphone 5,+70%
tmobile,+70%
at&t,+60%
att,+60%



