Google Shopping interest
United States; Past 90 days

Interest over time
Day,Real Estate
2014-06-20,+0%
2014-06-21,+21%
2014-06-22,+12%
2014-06-23,+6%
2014-06-24,+2%
2014-06-25,+9%
2014-06-26,-4%
2014-06-27,-10%
2014-06-28,+4%
2014-06-29,+12%
2014-06-30,+9%
2014-07-01,-4%
2014-07-02,+9%
2014-07-03,+12%
2014-07-04,-4%
2014-07-05,+9%
2014-07-06,+22%
2014-07-07,+4%
2014-07-08,+23%
2014-07-09,+11%
2014-07-10,+12%
2014-07-11,+10%
2014-07-12,+15%
2014-07-13,+9%
2014-07-14,+4%
2014-07-15,+6%
2014-07-16,+0%
2014-07-17,+10%
2014-07-18,+5%
2014-07-19,+4%
2014-07-20,+10%
2014-07-21,+10%
2014-07-22,+0%
2014-07-23,+7%
2014-07-24,+0%
2014-07-25,+4%
2014-07-26,+7%
2014-07-27,+0%
2014-07-28,-2%
2014-07-29,-6%
2014-07-30,-7%
2014-07-31,-1%
2014-08-01,-2%
2014-08-02,+9%
2014-08-03,+4%
2014-08-04,+0%
2014-08-05,-2%
2014-08-06,-5%
2014-08-07,-16%
2014-08-08,+5%
2014-08-09,-4%
2014-08-10,-1%
2014-08-11,+1%
2014-08-12,-12%
2014-08-13,-1%
2014-08-14,-1%
2014-08-15,-15%
2014-08-16,-6%
2014-08-17,+0%
2014-08-18,+0%
2014-08-19,-6%
2014-08-20,+4%
2014-08-21,+9%
2014-08-22,-20%
2014-08-23,+7%
2014-08-24,-6%
2014-08-25,-4%
2014-08-26,-4%
2014-08-27,-5%
2014-08-28,-10%
2014-08-29,-2%
2014-08-30,-9%
2014-08-31,-4%
2014-09-01,+2%
2014-09-02,+1%
2014-09-03,-5%
2014-09-04,-14%
2014-09-05,-5%
2014-09-06,+11%
2014-09-07,-2%
2014-09-08,-5%
2014-09-09,-19%
2014-09-10,-7%
2014-09-11,-10%
2014-09-12,+0%
2014-09-13,-22%
2014-09-14,-4%
2014-09-15,-9%
2014-09-16,-15%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
homes,100
apartments,95
houses,75
house,60
homes for sale,55
flats,55
florida,35
houses for rent,30
real estate,30
zillow,30
houses for sale,20
homes for rent,20
apartment,20
cabin,20
apartments for rent,20
mobile homes,15
house for rent,10
mobile home,10
craigslist ny,10
redline,5



Rising searches
vrbo,+90%
house for rent,+40%



