News Search interest
United States; Past 12 months

Interest over time
Week,Finance
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+3%
2013-09-29 - 2013-10-05,+31%
2013-10-06 - 2013-10-12,+9%
2013-10-13 - 2013-10-19,+12%
2013-10-20 - 2013-10-26,+9%
2013-10-27 - 2013-11-02,+8%
2013-11-03 - 2013-11-09,+7%
2013-11-10 - 2013-11-16,+11%
2013-11-17 - 2013-11-23,+11%
2013-11-24 - 2013-11-30,-9%
2013-12-01 - 2013-12-07,+3%
2013-12-08 - 2013-12-14,+1%
2013-12-15 - 2013-12-21,+16%
2013-12-22 - 2013-12-28,+4%
2013-12-29 - 2014-01-04,-3%
2014-01-05 - 2014-01-11,+15%
2014-01-12 - 2014-01-18,+33%
2014-01-19 - 2014-01-25,+15%
2014-01-26 - 2014-02-01,+23%
2014-02-02 - 2014-02-08,+16%
2014-02-09 - 2014-02-15,+11%
2014-02-16 - 2014-02-22,+7%
2014-02-23 - 2014-03-01,+20%
2014-03-02 - 2014-03-08,+5%
2014-03-09 - 2014-03-15,+1%
2014-03-16 - 2014-03-22,-5%
2014-03-23 - 2014-03-29,+1%
2014-03-30 - 2014-04-05,+7%
2014-04-06 - 2014-04-12,+11%
2014-04-13 - 2014-04-19,+17%
2014-04-20 - 2014-04-26,+1%
2014-04-27 - 2014-05-03,-4%
2014-05-04 - 2014-05-10,-5%
2014-05-11 - 2014-05-17,-5%
2014-05-18 - 2014-05-24,-1%
2014-05-25 - 2014-05-31,-7%
2014-06-01 - 2014-06-07,-3%
2014-06-08 - 2014-06-14,+1%
2014-06-15 - 2014-06-21,-3%
2014-06-22 - 2014-06-28,-5%
2014-06-29 - 2014-07-05,-13%
2014-07-06 - 2014-07-12,-9%
2014-07-13 - 2014-07-19,+5%
2014-07-20 - 2014-07-26,+1%
2014-07-27 - 2014-08-02,-1%
2014-08-03 - 2014-08-09,-1%
2014-08-10 - 2014-08-16,-19%
2014-08-17 - 2014-08-23,-9%
2014-08-24 - 2014-08-30,-13%
2014-08-31 - 2014-09-06,-19%
2014-09-07 - 2014-09-13,-13%
2014-09-14 - 2014-09-20,-13%



Top searches
bank,100
stock,80
insurance,60
tax,30
mortgage,30
chase,30
wells fargo,25
bank of america,25
irs,20
stocks,20
finance,15
gold,15
stock market,15
credit card,15
dollar,15
mortgage rates,10
taxes,10
health insurance,10
money,10
downton abbey,10



Rising searches
brics,+1,050%
obamacare,+150%
credit cards,+100%
chase online,+80%
google finance,+80%
stock,+70%
health insurance,+60%
finance,+50%
insurance,+50%
us dollar,+50%



