News Search interest
United States; 2009

Interest over time
Week,Computers & Electronics
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-21%
2009-01-18 - 2009-01-24,-56%
2009-01-25 - 2009-01-31,-49%
2009-02-01 - 2009-02-07,-54%
2009-02-08 - 2009-02-14,-56%
2009-02-15 - 2009-02-21,-52%
2009-02-22 - 2009-02-28,-46%
2009-03-01 - 2009-03-07,-39%
2009-03-08 - 2009-03-14,-43%
2009-03-15 - 2009-03-21,-37%
2009-03-22 - 2009-03-28,-36%
2009-03-29 - 2009-04-04,+6%
2009-04-05 - 2009-04-11,-34%
2009-04-12 - 2009-04-18,-36%
2009-04-19 - 2009-04-25,-28%
2009-04-26 - 2009-05-02,-52%
2009-05-03 - 2009-05-09,-38%
2009-05-10 - 2009-05-16,-44%
2009-05-17 - 2009-05-23,-46%
2009-05-24 - 2009-05-30,-28%
2009-05-31 - 2009-06-06,-18%
2009-06-07 - 2009-06-13,-14%
2009-06-14 - 2009-06-20,-20%
2009-06-21 - 2009-06-27,-36%
2009-06-28 - 2009-07-04,-38%
2009-07-05 - 2009-07-11,-24%
2009-07-12 - 2009-07-18,-30%
2009-07-19 - 2009-07-25,-23%
2009-07-26 - 2009-08-01,-26%
2009-08-02 - 2009-08-08,-24%
2009-08-09 - 2009-08-15,-28%
2009-08-16 - 2009-08-22,-17%
2009-08-23 - 2009-08-29,-22%
2009-08-30 - 2009-09-05,-23%
2009-09-06 - 2009-09-12,-13%
2009-09-13 - 2009-09-19,-36%
2009-09-20 - 2009-09-26,-29%
2009-09-27 - 2009-10-03,-29%
2009-10-04 - 2009-10-10,-30%
2009-10-11 - 2009-10-17,-20%
2009-10-18 - 2009-10-24,-7%
2009-10-25 - 2009-10-31,-23%
2009-11-01 - 2009-11-07,-34%
2009-11-08 - 2009-11-14,-33%
2009-11-15 - 2009-11-21,-29%
2009-11-22 - 2009-11-28,-35%
2009-11-29 - 2009-12-05,-39%
2009-12-06 - 2009-12-12,-43%
2009-12-13 - 2009-12-19,-39%
2009-12-20 - 2009-12-26,-43%
2009-12-27 - 2010-01-02,-37%



Top searches
windows,100
windows 7,75
ps3,60
apple,60
iphone,60
xbox,45
ipod,35
microsoft,35
360,25
google,25
xbox 360,25
virus,25
ipod touch,25
nintendo,20
sun,20
mac,20
playstation,20
zune,15
sony,15
kindle,15



Rising searches
iphone 3.0,Breakout
windows 7,+550%
sun,+350%
netbook,+300%
dsi,+250%
kindle,+250%
virus,+250%
zune,+130%
computer,+110%
ibm,+100%



