Image Search interest
United States; Past 7 days

Interest over time
Day,News
2014-09-12,+0%
2014-09-13,+14%
2014-09-14,+6%
2014-09-15,-7%
2014-09-16,-5%
2014-09-17, 
2014-09-18, 



Top searches
miley cyrus,100
weather,100
leaked photos,85
kim kardashian,75
jennifer lawrence,65
news,55
brittany murphy,40
american flag,40
kendall jenner,35
celebrities,35
kylie jenner,35
kate upton,35
obama,25
khloe kardashian,25
ariana grande,25
cristiano ronaldo,25
brad pitt,20
tiempo,20
jennifer lopez,20
haley joel osment,20



Rising searches
haley joel osment,+400%
jared leto,+170%
american flag,+150%
paris hilton,+120%
amanda bynes,+80%
paul walker,+80%
dave franco,+60%
johnny depp,+50%
tiempo,+40%



