Web Search interest
United States; 2005

Interest over time
Week,Hobbies & Leisure
2005-01-02 - 2005-01-08,+0%
2005-01-09 - 2005-01-15,-1%
2005-01-16 - 2005-01-22,+1%
2005-01-23 - 2005-01-29,-2%
2005-01-30 - 2005-02-05,+1%
2005-02-06 - 2005-02-12,+7%
2005-02-13 - 2005-02-19,+5%
2005-02-20 - 2005-02-26,+0%
2005-02-27 - 2005-03-05,+1%
2005-03-06 - 2005-03-12,+1%
2005-03-13 - 2005-03-19,+5%
2005-03-20 - 2005-03-26,+5%
2005-03-27 - 2005-04-02,+5%
2005-04-03 - 2005-04-09,+1%
2005-04-10 - 2005-04-16,-1%
2005-04-17 - 2005-04-23,+5%
2005-04-24 - 2005-04-30,+1%
2005-05-01 - 2005-05-07,+11%
2005-05-08 - 2005-05-14,+4%
2005-05-15 - 2005-05-21,+8%
2005-05-22 - 2005-05-28,+6%
2005-05-29 - 2005-06-04,+6%
2005-06-05 - 2005-06-11,+10%
2005-06-12 - 2005-06-18,+5%
2005-06-19 - 2005-06-25,+6%
2005-06-26 - 2005-07-02,+12%
2005-07-03 - 2005-07-09,+17%
2005-07-10 - 2005-07-16,+14%
2005-07-17 - 2005-07-23,+13%
2005-07-24 - 2005-07-30,+10%
2005-07-31 - 2005-08-06,+6%
2005-08-07 - 2005-08-13,+4%
2005-08-14 - 2005-08-20,+1%
2005-08-21 - 2005-08-27,+4%
2005-08-28 - 2005-09-03,-6%
2005-09-04 - 2005-09-10,+0%
2005-09-11 - 2005-09-17,+2%
2005-09-18 - 2005-09-24,-1%
2005-09-25 - 2005-10-01,+0%
2005-10-02 - 2005-10-08,+2%
2005-10-09 - 2005-10-15,+4%
2005-10-16 - 2005-10-22,+5%
2005-10-23 - 2005-10-29,+4%
2005-10-30 - 2005-11-05,+7%
2005-11-06 - 2005-11-12,+4%
2005-11-13 - 2005-11-19,+5%
2005-11-20 - 2005-11-26,+11%
2005-11-27 - 2005-12-03,+8%
2005-12-04 - 2005-12-10,+12%
2005-12-11 - 2005-12-17,+11%
2005-12-18 - 2005-12-24,+19%
2005-12-25 - 2005-12-31,+19%



Top searches
dog,100
wedding,80
lottery,75
christmas,65
dogs,45
canon,35
fish,35
cat,35
horse,30
boats,30
sony,30
digital camera,30
photography,30
puppies,25
lotto,25
paintball,25
halloween,25
cameras,20
cats,20
nikon,20



Rising searches
national teacher day,Breakout
puggle,+600%
liger,+400%
btk,+250%
national zoo,+190%
canon 20d,+100%
foamy,+80%
aruba,+70%
davids bridal,+40%
mega million,+40%



