YouTube Search interest
United States; 2011

Interest over time
Week,Pets & Animals
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-1%
2011-01-16 - 2011-01-22,-4%
2011-01-23 - 2011-01-29,-4%
2011-01-30 - 2011-02-05,-3%
2011-02-06 - 2011-02-12,-6%
2011-02-13 - 2011-02-19,-6%
2011-02-20 - 2011-02-26,-5%
2011-02-27 - 2011-03-05,-6%
2011-03-06 - 2011-03-12,-3%
2011-03-13 - 2011-03-19,-4%
2011-03-20 - 2011-03-26,+5%
2011-03-27 - 2011-04-02,+8%
2011-04-03 - 2011-04-09,+5%
2011-04-10 - 2011-04-16,+1%
2011-04-17 - 2011-04-23,+6%
2011-04-24 - 2011-04-30,+3%
2011-05-01 - 2011-05-07,+4%
2011-05-08 - 2011-05-14,+22%
2011-05-15 - 2011-05-21,+18%
2011-05-22 - 2011-05-28,+18%
2011-05-29 - 2011-06-04,+23%
2011-06-05 - 2011-06-11,+15%
2011-06-12 - 2011-06-18,+11%
2011-06-19 - 2011-06-25,+15%
2011-06-26 - 2011-07-02,+11%
2011-07-03 - 2011-07-09,+13%
2011-07-10 - 2011-07-16,+13%
2011-07-17 - 2011-07-23,+9%
2011-07-24 - 2011-07-30,+9%
2011-07-31 - 2011-08-06,+15%
2011-08-07 - 2011-08-13,+9%
2011-08-14 - 2011-08-20,+14%
2011-08-21 - 2011-08-27,+8%
2011-08-28 - 2011-09-03,+9%
2011-09-04 - 2011-09-10,+11%
2011-09-11 - 2011-09-17,+6%
2011-09-18 - 2011-09-24,+4%
2011-09-25 - 2011-10-01,+6%
2011-10-02 - 2011-10-08,+10%
2011-10-09 - 2011-10-15,+14%
2011-10-16 - 2011-10-22,+10%
2011-10-23 - 2011-10-29,+14%
2011-10-30 - 2011-11-05,+15%
2011-11-06 - 2011-11-12,+14%
2011-11-13 - 2011-11-19,+11%
2011-11-20 - 2011-11-26,+20%
2011-11-27 - 2011-12-03,+14%
2011-12-04 - 2011-12-10,+19%
2011-12-11 - 2011-12-17,+14%
2011-12-18 - 2011-12-24,+22%
2011-12-25 - 2011-12-31,+27%



Top searches
dog,100
cat,80
pitbull,45
birds,40
cats,35
angry birds,30
puppies,30
dogs,30
honey badger,25
puppy,20
lion,20
snake,20
kitten,20
horse,20
pony,15
wale,15
fish,15
kittens,15
dog talking,15
terraria,10



Rising searches
dog tease,Breakout
dog teaser,Breakout
honey badger,Breakout
nyan cat,Breakout
terraria,Breakout
ultimate dog tease,Breakout
my little pony,+600%
reptile,+400%
dog talking,+350%
angry birds,+300%



