News Search interest
United States; Past 30 days

Interest over time
Day,News
2014-08-19,+0%
2014-08-20,+5%
2014-08-21,+2%
2014-08-22,+0%
2014-08-23,-1%
2014-08-24,-9%
2014-08-25,-1%
2014-08-26,+3%
2014-08-27,+15%
2014-08-28,+10%
2014-08-29,+5%
2014-08-30,+1%
2014-08-31,-1%
2014-09-01,+8%
2014-09-02,+5%
2014-09-03,+15%
2014-09-04,+11%
2014-09-05,+3%
2014-09-06,+0%
2014-09-07,-7%
2014-09-08,-2%
2014-09-09,-5%
2014-09-10,-3%
2014-09-11,+3%
2014-09-12,+5%
2014-09-13,-1%
2014-09-14,-11%
2014-09-15,-6%
2014-09-16,-2%
2014-09-17, 
2014-09-18, 



Top searches
news,100
weather,85
kardashian,15
cnn,10
miley cyrus,10
kim kardashian,10
fox,10
fox news,10
tiempo,10
putin,5
transfer news,5
obama,5
latest news,5
google,5
google news,5
betty white,5
arsenal news,5
yahoo,5
bbc,5
vladimir putin,5



Rising searches
françois hollande,Breakout
betty white,+3,800%
leaked photos,+2,050%
jennifer lawrence,+800%
european central bank,+500%
brad pitt,+450%
isis,+350%
apple,+170%
aniston,+80%
jennifer aniston,+70%



