YouTube Search interest
United States; Past 12 months

Interest over time
Week,Sports
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-5%
2013-09-29 - 2013-10-05,-5%
2013-10-06 - 2013-10-12,-2%
2013-10-13 - 2013-10-19,-4%
2013-10-20 - 2013-10-26,-1%
2013-10-27 - 2013-11-02,+5%
2013-11-03 - 2013-11-09,-7%
2013-11-10 - 2013-11-16,-4%
2013-11-17 - 2013-11-23,+1%
2013-11-24 - 2013-11-30,-1%
2013-12-01 - 2013-12-07,+4%
2013-12-08 - 2013-12-14,-1%
2013-12-15 - 2013-12-21,-5%
2013-12-22 - 2013-12-28,-11%
2013-12-29 - 2014-01-04,+7%
2014-01-05 - 2014-01-11,+2%
2014-01-12 - 2014-01-18,+0%
2014-01-19 - 2014-01-25,+8%
2014-01-26 - 2014-02-01,+0%
2014-02-02 - 2014-02-08,+15%
2014-02-09 - 2014-02-15,+15%
2014-02-16 - 2014-02-22,+18%
2014-02-23 - 2014-03-01,+5%
2014-03-02 - 2014-03-08,+0%
2014-03-09 - 2014-03-15,-5%
2014-03-16 - 2014-03-22,-2%
2014-03-23 - 2014-03-29,+1%
2014-03-30 - 2014-04-05,+1%
2014-04-06 - 2014-04-12,+9%
2014-04-13 - 2014-04-19,+5%
2014-04-20 - 2014-04-26,+6%
2014-04-27 - 2014-05-03,+13%
2014-05-04 - 2014-05-10,+9%
2014-05-11 - 2014-05-17,+2%
2014-05-18 - 2014-05-24,-2%
2014-05-25 - 2014-05-31,+2%
2014-06-01 - 2014-06-07,+5%
2014-06-08 - 2014-06-14,+18%
2014-06-15 - 2014-06-21,+16%
2014-06-22 - 2014-06-28,+7%
2014-06-29 - 2014-07-05,+6%
2014-07-06 - 2014-07-12,+15%
2014-07-13 - 2014-07-19,+11%
2014-07-20 - 2014-07-26,-4%
2014-07-27 - 2014-08-02,+0%
2014-08-03 - 2014-08-09,+0%
2014-08-10 - 2014-08-16,+7%
2014-08-17 - 2014-08-23,+1%
2014-08-24 - 2014-08-30,-5%
2014-08-31 - 2014-09-06,-2%
2014-09-07 - 2014-09-13,+12%
2014-09-14 - 2014-09-20,+1%



Top searches
wwe,100
fight,85
nba,65
football,65
basketball,50
fights,45
soccer,35
world cup,30
wrestling,30
mayweather,30
rich homie quan,25
nfl,25
ufc,25
team,25
ariana grande,25
lebron james,20
baseball,20
john cena,20
world cup 2014,15
vines,15



Rising searches
ariana grande problem,Breakout
vines 2014,Breakout
world cup 2014,Breakout
wwe 2014,Breakout
vines,+4,400%
royals,+800%
nba 2k14,+650%
ariana grande,+350%
world cup,+300%
rich homie quan,+200%



