News Search interest
United States; 2009

Interest over time
Week,Finance
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-15%
2009-01-18 - 2009-01-24,-37%
2009-01-25 - 2009-01-31,-16%
2009-02-01 - 2009-02-07,-30%
2009-02-08 - 2009-02-14,-43%
2009-02-15 - 2009-02-21,-9%
2009-02-22 - 2009-02-28,+4%
2009-03-01 - 2009-03-07,+22%
2009-03-08 - 2009-03-14,-10%
2009-03-15 - 2009-03-21,-7%
2009-03-22 - 2009-03-28,-7%
2009-03-29 - 2009-04-04,-17%
2009-04-05 - 2009-04-11,-22%
2009-04-12 - 2009-04-18,-18%
2009-04-19 - 2009-04-25,-24%
2009-04-26 - 2009-05-02,-50%
2009-05-03 - 2009-05-09,-33%
2009-05-10 - 2009-05-16,-39%
2009-05-17 - 2009-05-23,-38%
2009-05-24 - 2009-05-30,-33%
2009-05-31 - 2009-06-06,-30%
2009-06-07 - 2009-06-13,-28%
2009-06-14 - 2009-06-20,-30%
2009-06-21 - 2009-06-27,-43%
2009-06-28 - 2009-07-04,-40%
2009-07-05 - 2009-07-11,-40%
2009-07-12 - 2009-07-18,-29%
2009-07-19 - 2009-07-25,-32%
2009-07-26 - 2009-08-01,-30%
2009-08-02 - 2009-08-08,-28%
2009-08-09 - 2009-08-15,-32%
2009-08-16 - 2009-08-22,-33%
2009-08-23 - 2009-08-29,-37%
2009-08-30 - 2009-09-05,-41%
2009-09-06 - 2009-09-12,-44%
2009-09-13 - 2009-09-19,-43%
2009-09-20 - 2009-09-26,-38%
2009-09-27 - 2009-10-03,-37%
2009-10-04 - 2009-10-10,-34%
2009-10-11 - 2009-10-17,-28%
2009-10-18 - 2009-10-24,-27%
2009-10-25 - 2009-10-31,-32%
2009-11-01 - 2009-11-07,-30%
2009-11-08 - 2009-11-14,-38%
2009-11-15 - 2009-11-21,-39%
2009-11-22 - 2009-11-28,-49%
2009-11-29 - 2009-12-05,-37%
2009-12-06 - 2009-12-12,-43%
2009-12-13 - 2009-12-19,-39%
2009-12-20 - 2009-12-26,-48%
2009-12-27 - 2010-01-02,-48%



Top searches
bank,100
mortgage,75
stock,45
mortgage rates,45
tax,40
credit,40
oil,35
insurance,35
bank of america,25
aig,25
dollar,20
stock market,20
gold,20
wells fargo,20
stocks,20
oil prices,15
credit card,15
citigroup,15
citi,15
satyam,15



Rising searches
satyam,+850%
finance,+130%
credit card,+120%
health insurance,+110%
medicare,+110%
credit,+100%
hsbc,+100%
wells fargo,+100%
insurance,+80%
credit cards,+70%



