Image Search interest
United States; Past 90 days

Interest over time
Day,Jobs & Education
2014-06-19,+0%
2014-06-20,-6%
2014-06-21,-22%
2014-06-22,-22%
2014-06-23,-5%
2014-06-24,-5%
2014-06-25,+0%
2014-06-26,+0%
2014-06-27,-11%
2014-06-28,-23%
2014-06-29,-31%
2014-06-30,-11%
2014-07-01,-8%
2014-07-02,-12%
2014-07-03,-12%
2014-07-04,-29%
2014-07-05,-31%
2014-07-06,-26%
2014-07-07,-11%
2014-07-08,-6%
2014-07-09,-3%
2014-07-10,-3%
2014-07-11,-14%
2014-07-12,-25%
2014-07-13,-23%
2014-07-14,-5%
2014-07-15,+0%
2014-07-16,+0%
2014-07-17,-2%
2014-07-18,-11%
2014-07-19,-23%
2014-07-20,-22%
2014-07-21,-3%
2014-07-22,+2%
2014-07-23,+2%
2014-07-24,+0%
2014-07-25,-2%
2014-07-26,-22%
2014-07-27,-22%
2014-07-28,+0%
2014-07-29,+2%
2014-07-30,+6%
2014-07-31,+6%
2014-08-01,+6%
2014-08-02,-14%
2014-08-03,-14%
2014-08-04,+14%
2014-08-05,+12%
2014-08-06,+26%
2014-08-07,+14%
2014-08-08,+12%
2014-08-09,-12%
2014-08-10,-9%
2014-08-11,+17%
2014-08-12,+17%
2014-08-13,+26%
2014-08-14,+25%
2014-08-15,+18%
2014-08-16,-3%
2014-08-17,+0%
2014-08-18,+46%
2014-08-19,+43%
2014-08-20,+45%
2014-08-21,+49%
2014-08-22,+37%
2014-08-23,+5%
2014-08-24,+9%
2014-08-25,+54%
2014-08-26,+52%
2014-08-27,+48%
2014-08-28,+52%
2014-08-29,+42%
2014-08-30,+14%
2014-08-31,+2%
2014-09-01,+3%
2014-09-02,+40%
2014-09-03,+40%
2014-09-04,+43%
2014-09-05,+37%
2014-09-06,+9%
2014-09-07,+12%
2014-09-08,+45%
2014-09-09,+37%
2014-09-10,+40%
2014-09-11,+37%
2014-09-12,+32%
2014-09-13,+5%
2014-09-14,+0%
2014-09-15,+40%
2014-09-16,+37%
2014-09-17, 
2014-09-18, 



Top searches
school,100
university,50
high,50
high school,40
college,30
resume,15
football,15
teacher,15
middle school,15
classroom,10
summer,10
alphabet,10
job,10
students,10
preschool,10
math,10
back to school,5
jobs,5
kindergarten,5
cursive,5



Rising searches
back to school,+1,650%
als,+800%
dylan sprayberry,+500%
school supplies,+350%
welcome,+350%
ggs,+250%
bulletin board,+100%
high school football,+100%
bulletin board ideas,+90%
football,+90%



