Web Search interest
United States; Past 12 months

Interest over time
Week,Online Communities
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-4%
2013-09-29 - 2013-10-05,-7%
2013-10-06 - 2013-10-12,-3%
2013-10-13 - 2013-10-19,-7%
2013-10-20 - 2013-10-26,-5%
2013-10-27 - 2013-11-02,-3%
2013-11-03 - 2013-11-09,-5%
2013-11-10 - 2013-11-16,-6%
2013-11-17 - 2013-11-23,-5%
2013-11-24 - 2013-11-30,-3%
2013-12-01 - 2013-12-07,-9%
2013-12-08 - 2013-12-14,-8%
2013-12-15 - 2013-12-21,-5%
2013-12-22 - 2013-12-28,+3%
2013-12-29 - 2014-01-04,-2%
2014-01-05 - 2014-01-11,-6%
2014-01-12 - 2014-01-18,-9%
2014-01-19 - 2014-01-25,-11%
2014-01-26 - 2014-02-01,-12%
2014-02-02 - 2014-02-08,-9%
2014-02-09 - 2014-02-15,-12%
2014-02-16 - 2014-02-22,-11%
2014-02-23 - 2014-03-01,-11%
2014-03-02 - 2014-03-08,-9%
2014-03-09 - 2014-03-15,-11%
2014-03-16 - 2014-03-22,-11%
2014-03-23 - 2014-03-29,-10%
2014-03-30 - 2014-04-05,-12%
2014-04-06 - 2014-04-12,-11%
2014-04-13 - 2014-04-19,-11%
2014-04-20 - 2014-04-26,-8%
2014-04-27 - 2014-05-03,-11%
2014-05-04 - 2014-05-10,-12%
2014-05-11 - 2014-05-17,-12%
2014-05-18 - 2014-05-24,-10%
2014-05-25 - 2014-05-31,-12%
2014-06-01 - 2014-06-07,-11%
2014-06-08 - 2014-06-14,-14%
2014-06-15 - 2014-06-21,-8%
2014-06-22 - 2014-06-28,-10%
2014-06-29 - 2014-07-05,-9%
2014-07-06 - 2014-07-12,-9%
2014-07-13 - 2014-07-19,-12%
2014-07-20 - 2014-07-26,-10%
2014-07-27 - 2014-08-02,-7%
2014-08-03 - 2014-08-09,-9%
2014-08-10 - 2014-08-16,-11%
2014-08-17 - 2014-08-23,-7%
2014-08-24 - 2014-08-30,-9%
2014-08-31 - 2014-09-06,-10%
2014-09-07 - 2014-09-13,-14%
2014-09-14 - 2014-09-20,-8%



Top searches
facebook facebook,100
facebook,100
facebook login,10
twitter,5
tumblr,5
linkedin,0
wallpaper,0
gif,0
pof,0
images,0
megashare,0
chat,0
face,0
gifs,0
okcupid,0
club penguin,0
shutterfly,0
pirate bay,0
clip art,0
plenty of fish,0



Rising searches
одноклассники,+650%
megashare,+450%
فيس بوك,+150%
odnoklassniki,+120%
pirates bay,+100%
gif,+60%
thepiratebay,+60%
twitter search,+60%
gifs,+50%
search,+50%



