Web Search interest
United States; Past 30 days

Interest over time
Day,Shopping
2014-08-18,+0%
2014-08-19,-5%
2014-08-20,-3%
2014-08-21,-5%
2014-08-22,-5%
2014-08-23,+11%
2014-08-24,+8%
2014-08-25,-7%
2014-08-26,-7%
2014-08-27,-7%
2014-08-28,-5%
2014-08-29,-2%
2014-08-30,+9%
2014-08-31,+14%
2014-09-01,+14%
2014-09-02,-8%
2014-09-03,-12%
2014-09-04,-2%
2014-09-05,-3%
2014-09-06,+5%
2014-09-07,+3%
2014-09-08,-9%
2014-09-09,-9%
2014-09-10,-10%
2014-09-11,-10%
2014-09-12,-5%
2014-09-13,+9%
2014-09-14,+7%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
amazon,100
walmart,70
ebay,70
shoes,50
netflix,50
coupons,45
target,40
joan rivers,30
google,30
best buy,25
nike,25
pandora,25
xbox,25
craigslist,20
costco,20
ice bucket challenge,20
nordstrom,15
jcpenney,15
kohls,15
sears,15



Rising searches
joan rivers,Breakout
ice bucket challenge,+450%
spirit halloween,+400%
iphone 6,+300%
halloween costumes,+250%
homecoming dresses,+250%
alibaba,+150%
chegg,+140%
prezi,+110%
destiny,+90%



