News Search interest
United States; Past 90 days

Interest over time
Day,Pets & Animals
2014-06-19,+0%
2014-06-20,+11%
2014-06-21,+20%
2014-06-22,+17%
2014-06-23,+13%
2014-06-24,+0%
2014-06-25,+0%
2014-06-26,-2%
2014-06-27,+3%
2014-06-28,+6%
2014-06-29,+16%
2014-06-30,-2%
2014-07-01,-9%
2014-07-02,-6%
2014-07-03,+2%
2014-07-04,+3%
2014-07-05,+2%
2014-07-06,+19%
2014-07-07,-2%
2014-07-08,+5%
2014-07-09,-8%
2014-07-10,-14%
2014-07-11,+6%
2014-07-12,+9%
2014-07-13,+16%
2014-07-14,+3%
2014-07-15,+17%
2014-07-16,+9%
2014-07-17,-8%
2014-07-18,-16%
2014-07-19,+8%
2014-07-20,+5%
2014-07-21,+0%
2014-07-22,-8%
2014-07-23,+3%
2014-07-24,+2%
2014-07-25,+8%
2014-07-26,+16%
2014-07-27,+16%
2014-07-28,+8%
2014-07-29,-3%
2014-07-30,-14%
2014-07-31,-3%
2014-08-01,+13%
2014-08-02,+8%
2014-08-03,+16%
2014-08-04,+2%
2014-08-05,-9%
2014-08-06,+8%
2014-08-07,+5%
2014-08-08,-8%
2014-08-09,+6%
2014-08-10,-2%
2014-08-11,-5%
2014-08-12,-14%
2014-08-13,-6%
2014-08-14,-5%
2014-08-15,-6%
2014-08-16,+11%
2014-08-17,+6%
2014-08-18,-12%
2014-08-19,+6%
2014-08-20,+0%
2014-08-21,+0%
2014-08-22,+3%
2014-08-23,+16%
2014-08-24,+2%
2014-08-25,+56%
2014-08-26,+9%
2014-08-27,-6%
2014-08-28,-2%
2014-08-29,-2%
2014-08-30,+14%
2014-08-31,+6%
2014-09-01,+2%
2014-09-02,-19%
2014-09-03,-12%
2014-09-04,-2%
2014-09-05,-5%
2014-09-06,+17%
2014-09-07,+5%
2014-09-08,-6%
2014-09-09,-22%
2014-09-10,-3%
2014-09-11,-11%
2014-09-12,-5%
2014-09-13,-3%
2014-09-14,+13%
2014-09-15,-11%
2014-09-16,-9%
2014-09-17, 
2014-09-18, 



Top searches
dog,100
dogs,65
cat,50
shark,35
animal,30
zoo,25
fish,20
pet,20
birds,20
puppies,20
cats,20
great white,15
pitbull,15
richard attenborough,15
sam,15
sharks,15
lion,15
elephant,15
bird,15
petsmart,15



Rising searches
richard attenborough,Breakout
great white sharks,+250%
sharks,+130%
great white,+120%
megalodon,+100%
dinosaurs,+70%
elephant,+70%
petsmart,+70%
sam,+50%
bears,+40%



