YouTube Search interest
United States; 2012

Interest over time
Week,Home & Garden
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+0%
2012-01-15 - 2012-01-21,-1%
2012-01-22 - 2012-01-28,+1%
2012-01-29 - 2012-02-04,+4%
2012-02-05 - 2012-02-11,+3%
2012-02-12 - 2012-02-18,-1%
2012-02-19 - 2012-02-25,+4%
2012-02-26 - 2012-03-03,+4%
2012-03-04 - 2012-03-10,+4%
2012-03-11 - 2012-03-17,+8%
2012-03-18 - 2012-03-24,+5%
2012-03-25 - 2012-03-31,+5%
2012-04-01 - 2012-04-07,+4%
2012-04-08 - 2012-04-14,+8%
2012-04-15 - 2012-04-21,+10%
2012-04-22 - 2012-04-28,+12%
2012-04-29 - 2012-05-05,+6%
2012-05-06 - 2012-05-12,+9%
2012-05-13 - 2012-05-19,+13%
2012-05-20 - 2012-05-26,+17%
2012-05-27 - 2012-06-02,+18%
2012-06-03 - 2012-06-09,+13%
2012-06-10 - 2012-06-16,+19%
2012-06-17 - 2012-06-23,+19%
2012-06-24 - 2012-06-30,+17%
2012-07-01 - 2012-07-07,+17%
2012-07-08 - 2012-07-14,+18%
2012-07-15 - 2012-07-21,+22%
2012-07-22 - 2012-07-28,+16%
2012-07-29 - 2012-08-04,+18%
2012-08-05 - 2012-08-11,+22%
2012-08-12 - 2012-08-18,+19%
2012-08-19 - 2012-08-25,+22%
2012-08-26 - 2012-09-01,+18%
2012-09-02 - 2012-09-08,+18%
2012-09-09 - 2012-09-15,+16%
2012-09-16 - 2012-09-22,+13%
2012-09-23 - 2012-09-29,+18%
2012-09-30 - 2012-10-06,+19%
2012-10-07 - 2012-10-13,+17%
2012-10-14 - 2012-10-20,+22%
2012-10-21 - 2012-10-27,+23%
2012-10-28 - 2012-11-03,+21%
2012-11-04 - 2012-11-10,+22%
2012-11-11 - 2012-11-17,+27%
2012-11-18 - 2012-11-24,+21%
2012-11-25 - 2012-12-01,+23%
2012-12-02 - 2012-12-08,+22%
2012-12-09 - 2012-12-15,+17%
2012-12-16 - 2012-12-22,+18%
2012-12-23 - 2012-12-29,+22%
2012-12-30 - 2013-01-05,+30%



Top searches
minecraft,100
swimming pools,90
kendrick lamar,80
swimming pools kendrick,80
lights,70
paint,55
bed,55
erb,50
pool,35
ratchet,35
light,30
ratchet girl,30
ratchet anthem,30
ratchet girl anthem,25
cashin out,20
azealia banks,20
mirror,20
doors,20
california king bed,20
drunk kitchen,15



Rising searches
cashin out,Breakout
kendrick lamar,Breakout
ratchet anthem,Breakout
ratchet girl,Breakout
ratchet girl anthem,Breakout
swimming pools,Breakout
swimming pools kendrick,Breakout
ratchet,+3,750%
azealia banks,+2,150%
erb,+1,650%



