News Search interest
United States; 2010

Interest over time
Week,Travel
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-5%
2010-01-17 - 2010-01-23,-12%
2010-01-24 - 2010-01-30,-11%
2010-01-31 - 2010-02-06,-20%
2010-02-07 - 2010-02-13,-7%
2010-02-14 - 2010-02-20,-18%
2010-02-21 - 2010-02-27,+16%
2010-02-28 - 2010-03-06,-9%
2010-03-07 - 2010-03-13,-18%
2010-03-14 - 2010-03-20,-18%
2010-03-21 - 2010-03-27,-21%
2010-03-28 - 2010-04-03,-12%
2010-04-04 - 2010-04-10,-4%
2010-04-11 - 2010-04-17,-4%
2010-04-18 - 2010-04-24,+7%
2010-04-25 - 2010-05-01,-4%
2010-05-02 - 2010-05-08,+48%
2010-05-09 - 2010-05-15,-5%
2010-05-16 - 2010-05-22,-9%
2010-05-23 - 2010-05-29,-18%
2010-05-30 - 2010-06-05,-21%
2010-06-06 - 2010-06-12,-20%
2010-06-13 - 2010-06-19,-18%
2010-06-20 - 2010-06-26,-12%
2010-06-27 - 2010-07-03,-2%
2010-07-04 - 2010-07-10,-11%
2010-07-11 - 2010-07-17,-23%
2010-07-18 - 2010-07-24,-11%
2010-07-25 - 2010-07-31,-18%
2010-08-01 - 2010-08-07,-21%
2010-08-08 - 2010-08-14,+79%
2010-08-15 - 2010-08-21,-7%
2010-08-22 - 2010-08-28,+14%
2010-08-29 - 2010-09-04,-9%
2010-09-05 - 2010-09-11,-9%
2010-09-12 - 2010-09-18,+2%
2010-09-19 - 2010-09-25,-16%
2010-09-26 - 2010-10-02,+7%
2010-10-03 - 2010-10-09,-11%
2010-10-10 - 2010-10-16,-25%
2010-10-17 - 2010-10-23,-20%
2010-10-24 - 2010-10-30,-16%
2010-10-31 - 2010-11-06,-23%
2010-11-07 - 2010-11-13,+14%
2010-11-14 - 2010-11-20,-5%
2010-11-21 - 2010-11-27,+0%
2010-11-28 - 2010-12-04,-11%
2010-12-05 - 2010-12-11,-5%
2010-12-12 - 2010-12-18,+4%
2010-12-19 - 2010-12-25,+27%
2010-12-26 - 2011-01-01,+34%



Top searches
airlines,100
airport,45
flight,30
united,25
vegas,25
jetblue,25
las vegas,25
southwest,25
united airlines,20
delta,20
southwest airlines,20
cruise,20
jetblue flight attendant,20
hotel,15
travel,15
airline,15
flights,15
american airlines,15
continental airlines,15
hawaii,10



Rising searches
jetblue flight attendant,Breakout
jetblue,+550%
greece,+250%
times square,+190%
jfk,+170%
cruise ship,+120%
jet blue,+110%
vatican,+90%
airport,+80%
castle,+70%



