Web Search interest
United States; 2010

Interest over time
Week,Pets & Animals
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-2%
2010-01-17 - 2010-01-23,-1%
2010-01-24 - 2010-01-30,-2%
2010-01-31 - 2010-02-06,-2%
2010-02-07 - 2010-02-13,-5%
2010-02-14 - 2010-02-20,+2%
2010-02-21 - 2010-02-27,+0%
2010-02-28 - 2010-03-06,+2%
2010-03-07 - 2010-03-13,+0%
2010-03-14 - 2010-03-20,+1%
2010-03-21 - 2010-03-27,+1%
2010-03-28 - 2010-04-03,+4%
2010-04-04 - 2010-04-10,+5%
2010-04-11 - 2010-04-17,+3%
2010-04-18 - 2010-04-24,+2%
2010-04-25 - 2010-05-01,+4%
2010-05-02 - 2010-05-08,+6%
2010-05-09 - 2010-05-15,+5%
2010-05-16 - 2010-05-22,+8%
2010-05-23 - 2010-05-29,+5%
2010-05-30 - 2010-06-05,+4%
2010-06-06 - 2010-06-12,+0%
2010-06-13 - 2010-06-19,+0%
2010-06-20 - 2010-06-26,-3%
2010-06-27 - 2010-07-03,+2%
2010-07-04 - 2010-07-10,+8%
2010-07-11 - 2010-07-17,+6%
2010-07-18 - 2010-07-24,+3%
2010-07-25 - 2010-07-31,+4%
2010-08-01 - 2010-08-07,+3%
2010-08-08 - 2010-08-14,+1%
2010-08-15 - 2010-08-21,+2%
2010-08-22 - 2010-08-28,-1%
2010-08-29 - 2010-09-04,+1%
2010-09-05 - 2010-09-11,-1%
2010-09-12 - 2010-09-18,-3%
2010-09-19 - 2010-09-25,-3%
2010-09-26 - 2010-10-02,-3%
2010-10-03 - 2010-10-09,-4%
2010-10-10 - 2010-10-16,+0%
2010-10-17 - 2010-10-23,-3%
2010-10-24 - 2010-10-30,-2%
2010-10-31 - 2010-11-06,-5%
2010-11-07 - 2010-11-13,+2%
2010-11-14 - 2010-11-20,-1%
2010-11-21 - 2010-11-27,-2%
2010-11-28 - 2010-12-04,+1%
2010-12-05 - 2010-12-11,-2%
2010-12-12 - 2010-12-18,-5%
2010-12-19 - 2010-12-25,+3%
2010-12-26 - 2011-01-01,+4%



Top searches
dog,100
dogs,45
puppies,40
animal,40
cat,35
fish,20
cats,20
horse,20
puppy,20
zoo,15
birds,15
petsmart,15
puppies for sale,10
horses,10
humane society,10
grooveshark,10
bulldog,10
snake,10
petco,10
hamster,10



Rising searches
angry birds,Breakout
kat stacks,Breakout
grooveshark,+350%
predators,+160%
sapo,+160%
babosas,+90%
birds,+70%
catfish,+60%
x hamster,+60%
octopus,+40%



