Web Search interest
United States; Past 7 days

Interest over time
Day,Travel
2014-09-11,+0%
2014-09-12,-2%
2014-09-13,+0%
2014-09-14,-1%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
hotel,100
hotels,85
southwest,80
las vegas,75
flights,75
flight,60
southwest airlines,50
united,50
delta,50
american,40
disney,40
car rental,40
united airlines,35
expedia,35
american airlines,30
travel,30
marriott,30
hilton,30
amtrak,25
enterprise,25



Rising searches
chris davis,+2,050%
isil vs isis,+300%
isil,+250%
isil and isis,+250%
isis or isil,+190%
isis,+180%
levant,+180%
graceland,+100%
trinidad james,+90%
statue of liberty,+50%



