Google Shopping interest
United States; Past 90 days

Interest over time
Day,Science
2014-06-20,+0%
2014-06-21,+0%
2014-06-22,-5%
2014-06-23,+12%
2014-06-24,+3%
2014-06-25,+3%
2014-06-26,+6%
2014-06-27,+6%
2014-06-28,-12%
2014-06-29,-8%
2014-06-30,+2%
2014-07-01,+2%
2014-07-02,-2%
2014-07-03,+5%
2014-07-04,-20%
2014-07-05,-6%
2014-07-06,-6%
2014-07-07,-5%
2014-07-08,+11%
2014-07-09,+6%
2014-07-10,+11%
2014-07-11,+3%
2014-07-12,-6%
2014-07-13,-12%
2014-07-14,+3%
2014-07-15,+2%
2014-07-16,+0%
2014-07-17,+9%
2014-07-18,+2%
2014-07-19,-9%
2014-07-20,-6%
2014-07-21,-2%
2014-07-22,-2%
2014-07-23,+2%
2014-07-24,+3%
2014-07-25,+0%
2014-07-26,-11%
2014-07-27,-6%
2014-07-28,-8%
2014-07-29,-2%
2014-07-30,-6%
2014-07-31,+6%
2014-08-01,+0%
2014-08-02,-8%
2014-08-03,-12%
2014-08-04,+34%
2014-08-05,+15%
2014-08-06,+9%
2014-08-07,+8%
2014-08-08,+9%
2014-08-09,-9%
2014-08-10,-3%
2014-08-11,+6%
2014-08-12,+38%
2014-08-13,+14%
2014-08-14,+11%
2014-08-15,+5%
2014-08-16,-5%
2014-08-17,-3%
2014-08-18,+9%
2014-08-19,+20%
2014-08-20,+22%
2014-08-21,+29%
2014-08-22,+23%
2014-08-23,+3%
2014-08-24,+0%
2014-08-25,+31%
2014-08-26,+52%
2014-08-27,+54%
2014-08-28,+35%
2014-08-29,+35%
2014-08-30,+6%
2014-08-31,-2%
2014-09-01,+8%
2014-09-02,+37%
2014-09-03,+52%
2014-09-04,+45%
2014-09-05,+31%
2014-09-06,+0%
2014-09-07,+20%
2014-09-08,+45%
2014-09-09,+42%
2014-09-10,+37%
2014-09-11,+46%
2014-09-12,+25%
2014-09-13,-3%
2014-09-14,+2%
2014-09-15,+29%
2014-09-16,+37%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
windows 7,100
scale,65
math,60
robot,55
drone,55
science,55
dinosaur,40
microscope,35
thermos,35
pond,35
.net,35
.net framework,30
spider,30
sand,25
skeleton,25
animals,25
butterfly,25
john venn,20
meteor shower,20
protein,20



Rising searches
john venn,Breakout
perseid meteor shower,Breakout
meteor shower,+600%
tide,+250%
black widow,+180%
.net framework 4.0,+170%
.net,+150%
.net framework,+120%
drones,+100%
bed bugs,+90%



