YouTube Search interest
United States; 2013

Interest over time
Week,Autos & Vehicles
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+5%
2013-01-20 - 2013-01-26,+5%
2013-01-27 - 2013-02-02,+8%
2013-02-03 - 2013-02-09,+4%
2013-02-10 - 2013-02-16,+2%
2013-02-17 - 2013-02-23,+8%
2013-02-24 - 2013-03-02,+8%
2013-03-03 - 2013-03-09,+10%
2013-03-10 - 2013-03-16,+10%
2013-03-17 - 2013-03-23,+8%
2013-03-24 - 2013-03-30,+10%
2013-03-31 - 2013-04-06,+8%
2013-04-07 - 2013-04-13,+8%
2013-04-14 - 2013-04-20,+6%
2013-04-21 - 2013-04-27,+8%
2013-04-28 - 2013-05-04,+7%
2013-05-05 - 2013-05-11,+10%
2013-05-12 - 2013-05-18,+11%
2013-05-19 - 2013-05-25,+7%
2013-05-26 - 2013-06-01,+13%
2013-06-02 - 2013-06-08,+11%
2013-06-09 - 2013-06-15,+11%
2013-06-16 - 2013-06-22,+8%
2013-06-23 - 2013-06-29,+8%
2013-06-30 - 2013-07-06,+6%
2013-07-07 - 2013-07-13,+11%
2013-07-14 - 2013-07-20,+12%
2013-07-21 - 2013-07-27,+12%
2013-07-28 - 2013-08-03,+14%
2013-08-04 - 2013-08-10,+13%
2013-08-11 - 2013-08-17,+14%
2013-08-18 - 2013-08-24,+16%
2013-08-25 - 2013-08-31,+10%
2013-09-01 - 2013-09-07,+13%
2013-09-08 - 2013-09-14,+10%
2013-09-15 - 2013-09-21,+8%
2013-09-22 - 2013-09-28,+13%
2013-09-29 - 2013-10-05,+20%
2013-10-06 - 2013-10-12,+16%
2013-10-13 - 2013-10-19,+12%
2013-10-20 - 2013-10-26,+10%
2013-10-27 - 2013-11-02,+7%
2013-11-03 - 2013-11-09,+5%
2013-11-10 - 2013-11-16,+13%
2013-11-17 - 2013-11-23,+10%
2013-11-24 - 2013-11-30,+8%
2013-12-01 - 2013-12-07,+8%
2013-12-08 - 2013-12-14,+8%
2013-12-15 - 2013-12-21,+6%
2013-12-22 - 2013-12-28,+11%
2013-12-29 - 2014-01-04,+7%



Top searches
car,100
turbo,60
gas pedal,55
mustang,45
bmw,45
cars,40
sail,40
motorcycle,35
power trip,35
jeep,35
nissan,30
j cole,25
trucks,25
trailers,25
drive,25
sail awolnation,25
lamborghini,25
bugatti,20
porsche,20
scooter,20



Rising searches
attack on titan,Breakout
power trip,Breakout
j cole,+3,600%
gas pedal lyrics,+3,000%
gta 5,+1,650%
2014 corvette,+1,400%
gas pedal,+1,350%
gas pedal dance,+1,350%
young scooter,+250%
exo,+80%



