Google Shopping interest
United States; 2008

Interest over time
Week,Online Communities
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+0%
2008-01-20 - 2008-01-26,-2%
2008-01-27 - 2008-02-02,-6%
2008-02-03 - 2008-02-09,-3%
2008-02-10 - 2008-02-16,-1%
2008-02-17 - 2008-02-23,-8%
2008-02-24 - 2008-03-01,-1%
2008-03-02 - 2008-03-08,-4%
2008-03-09 - 2008-03-15,-2%
2008-03-16 - 2008-03-22,-11%
2008-03-23 - 2008-03-29,-1%
2008-03-30 - 2008-04-05,-2%
2008-04-06 - 2008-04-12,-4%
2008-04-13 - 2008-04-19,-6%
2008-04-20 - 2008-04-26,-9%
2008-04-27 - 2008-05-03,-7%
2008-05-04 - 2008-05-10,-6%
2008-05-11 - 2008-05-17,-6%
2008-05-18 - 2008-05-24,-12%
2008-05-25 - 2008-05-31,-3%
2008-06-01 - 2008-06-07,-4%
2008-06-08 - 2008-06-14,-7%
2008-06-15 - 2008-06-21,+4%
2008-06-22 - 2008-06-28,-2%
2008-06-29 - 2008-07-05,+7%
2008-07-06 - 2008-07-12,-8%
2008-07-13 - 2008-07-19,+4%
2008-07-20 - 2008-07-26,+4%
2008-07-27 - 2008-08-02,+3%
2008-08-03 - 2008-08-09,+7%
2008-08-10 - 2008-08-16,-2%
2008-08-17 - 2008-08-23,+8%
2008-08-24 - 2008-08-30,-1%
2008-08-31 - 2008-09-06,-1%
2008-09-07 - 2008-09-13,+7%
2008-09-14 - 2008-09-20,-4%
2008-09-21 - 2008-09-27,+1%
2008-09-28 - 2008-10-04,+1%
2008-10-05 - 2008-10-11,+2%
2008-10-12 - 2008-10-18,+0%
2008-10-19 - 2008-10-25,+2%
2008-10-26 - 2008-11-01,+3%
2008-11-02 - 2008-11-08,+12%
2008-11-09 - 2008-11-15,+0%
2008-11-16 - 2008-11-22,+8%
2008-11-23 - 2008-11-29,-1%
2008-11-30 - 2008-12-06,-4%
2008-12-07 - 2008-12-13,+8%
2008-12-14 - 2008-12-20,+9%
2008-12-21 - 2008-12-27,+7%
2008-12-28 - 2009-01-03,+0%



Top searches
ps2,100
myspace,85
fuse,60
icon,55
webkinz,55
zebra,35
maui jim,30
streamlight,30
wallpaper,25
photo album,25
louboutin,25
nintendo wii fit,20
facebook,20
christian louboutin,15
icon jacket,15
9mm,15
club penguin,15
borders,10
diary,10
clip art,10



Rising searches
nintendo wii fit,Breakout
facebook,+250%
9mm,+200%
club penguin,+180%
icon jacket,+180%
christian louboutin,+110%
icon,+100%
louboutin,+90%
zebra,+90%
clip art,+60%



