Google Shopping interest
United States; 2010

Interest over time
Week,Reference
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+16%
2010-01-17 - 2010-01-23,+10%
2010-01-24 - 2010-01-30,+6%
2010-01-31 - 2010-02-06,-17%
2010-02-07 - 2010-02-13,-26%
2010-02-14 - 2010-02-20,-29%
2010-02-21 - 2010-02-27,-29%
2010-02-28 - 2010-03-06,-32%
2010-03-07 - 2010-03-13,-32%
2010-03-14 - 2010-03-20,-30%
2010-03-21 - 2010-03-27,-28%
2010-03-28 - 2010-04-03,-30%
2010-04-04 - 2010-04-10,-32%
2010-04-11 - 2010-04-17,-33%
2010-04-18 - 2010-04-24,-30%
2010-04-25 - 2010-05-01,-28%
2010-05-02 - 2010-05-08,-26%
2010-05-09 - 2010-05-15,-24%
2010-05-16 - 2010-05-22,-28%
2010-05-23 - 2010-05-29,-28%
2010-05-30 - 2010-06-05,-27%
2010-06-06 - 2010-06-12,-18%
2010-06-13 - 2010-06-19,-15%
2010-06-20 - 2010-06-26,-24%
2010-06-27 - 2010-07-03,-29%
2010-07-04 - 2010-07-10,-34%
2010-07-11 - 2010-07-17,-32%
2010-07-18 - 2010-07-24,-28%
2010-07-25 - 2010-07-31,-28%
2010-08-01 - 2010-08-07,-18%
2010-08-08 - 2010-08-14,-18%
2010-08-15 - 2010-08-21,+1%
2010-08-22 - 2010-08-28,+22%
2010-08-29 - 2010-09-04,+13%
2010-09-05 - 2010-09-11,+2%
2010-09-12 - 2010-09-18,-5%
2010-09-19 - 2010-09-25,-11%
2010-09-26 - 2010-10-02,-17%
2010-10-03 - 2010-10-09,-17%
2010-10-10 - 2010-10-16,-9%
2010-10-17 - 2010-10-23,-11%
2010-10-24 - 2010-10-30,-20%
2010-10-31 - 2010-11-06,-17%
2010-11-07 - 2010-11-13,-30%
2010-11-14 - 2010-11-20,-30%
2010-11-21 - 2010-11-27,-45%
2010-11-28 - 2010-12-04,-40%
2010-12-05 - 2010-12-11,-37%
2010-12-12 - 2010-12-18,-34%
2010-12-19 - 2010-12-25,-38%
2010-12-26 - 2011-01-01,-33%



Top searches
calculator,100
isbn,75
dictionary,65
map,55
calendar,55
craigslist,55
graphing calculator,50
planner,35
trash can,35
ti-84,30
toolbox,25
craigs list,25
torque wrench,25
ti 84,20
textbook,20
maps,20
franklin dictionary,20
ti-83,20
earth,20
ti-89,20



Rising searches
despicable me,Breakout
toolbox,+1,550%
franklin dictionary,+350%
sundial,+170%
irish flag,+100%
anthropologie,+90%
bing,+80%
cpap,+60%
garbage can,+60%
scientific calculator,+60%



