YouTube Search interest
United States; Past 30 days

Interest over time
Day,Reference
2014-08-20,+0%
2014-08-21,+6%
2014-08-22,+9%
2014-08-23,+1%
2014-08-24,+3%
2014-08-25,+6%
2014-08-26,+15%
2014-08-27,+16%
2014-08-28,+18%
2014-08-29,+11%
2014-08-30,+3%
2014-08-31,+6%
2014-09-01,+5%
2014-09-02,+18%
2014-09-03,+22%
2014-09-04,+23%
2014-09-05,+15%
2014-09-06,+8%
2014-09-07,+13%
2014-09-08,+20%
2014-09-09,+20%
2014-09-10,+23%
2014-09-11,+18%
2014-09-12,+20%
2014-09-13,+8%
2014-09-14,+9%
2014-09-15,+22%
2014-09-16,+24%
2014-09-17,+27%
2014-09-18, 
2014-09-19, 



Top searches
history,100
how to make,50
history of rap,45
speech,30
maps,20
crash course,20
map,15
french,15
mermaid,10
hypnosis,10
spanish alphabet,10
spanish alphabet song,10
last of us,10
georgia florida line,10
mermaids,10
motivational speech,10
ww2,10
civil war,10
rae sremmurd,5
swoozie,5



Rising searches
no type rae,Breakout
rae sremmurd,Breakout
spanish alphabet song,+500%
spanish alphabet,+450%
letter a,+250%
crash course,+200%
邓小平,+130%
egypt,+80%
stefan molyneux,+60%
three little pigs,+40%



