Image Search interest
United States; Past 7 days

Interest over time
Day,Computers & Electronics
2014-09-12,+0%
2014-09-13,-12%
2014-09-14,-12%
2014-09-15,+1%
2014-09-16,+1%
2014-09-17, 
2014-09-18, 



Top searches
galaxy,100
iphone,90
apple,60
switch,55
xbox,50
wallpaper,45
ipod,40
s5,40
emoji,35
iphone 6,35
selfie,35
computer,35
galaxy s5,35
camera,30
minecraft,30
tv,25
iphone wallpaper,25
galaxy note,25
xbox 360,25
3d,25



Rising searches
switch,+250%
squid,+60%
bra,+50%
galaxy 6,+50%
pic,+50%
iphone 6,+40%



