Web Search interest
United States; 2007

Interest over time
Week,Law & Government
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,-1%
2007-01-21 - 2007-01-27,+8%
2007-01-28 - 2007-02-03,+1%
2007-02-04 - 2007-02-10,+0%
2007-02-11 - 2007-02-17,+0%
2007-02-18 - 2007-02-24,+0%
2007-02-25 - 2007-03-03,+1%
2007-03-04 - 2007-03-10,+4%
2007-03-11 - 2007-03-17,-1%
2007-03-18 - 2007-03-24,+7%
2007-03-25 - 2007-03-31,+6%
2007-04-01 - 2007-04-07,+2%
2007-04-08 - 2007-04-14,+1%
2007-04-15 - 2007-04-21,+19%
2007-04-22 - 2007-04-28,+4%
2007-04-29 - 2007-05-05,+2%
2007-05-06 - 2007-05-12,+5%
2007-05-13 - 2007-05-19,+2%
2007-05-20 - 2007-05-26,+1%
2007-05-27 - 2007-06-02,-4%
2007-06-03 - 2007-06-09,+4%
2007-06-10 - 2007-06-16,+1%
2007-06-17 - 2007-06-23,+2%
2007-06-24 - 2007-06-30,+4%
2007-07-01 - 2007-07-07,-5%
2007-07-08 - 2007-07-14,-2%
2007-07-15 - 2007-07-21,-1%
2007-07-22 - 2007-07-28,-1%
2007-07-29 - 2007-08-04,-4%
2007-08-05 - 2007-08-11,-7%
2007-08-12 - 2007-08-18,-5%
2007-08-19 - 2007-08-25,-8%
2007-08-26 - 2007-09-01,-4%
2007-09-02 - 2007-09-08,-5%
2007-09-09 - 2007-09-15,-2%
2007-09-16 - 2007-09-22,+6%
2007-09-23 - 2007-09-29,+2%
2007-09-30 - 2007-10-06,+0%
2007-10-07 - 2007-10-13,+0%
2007-10-14 - 2007-10-20,-2%
2007-10-21 - 2007-10-27,-2%
2007-10-28 - 2007-11-03,-6%
2007-11-04 - 2007-11-10,+1%
2007-11-11 - 2007-11-17,+0%
2007-11-18 - 2007-11-24,-14%
2007-11-25 - 2007-12-01,+1%
2007-12-02 - 2007-12-08,-1%
2007-12-09 - 2007-12-15,-7%
2007-12-16 - 2007-12-22,-11%
2007-12-23 - 2007-12-29,-24%
2007-12-30 - 2008-01-05,-12%



Top searches
mapquest,100
police,30
map quest,30
army,20
passport,15
attorney,15
fire,15
navy,15
act,15
immigration,10
visa,10
safety,10
air force,10
directions driving,10
unemployment,10
maps,10
ako,10
obama,5
child support,5
constitution,5



Rising searches
pet food recall,Breakout
zoey zane,Breakout
virginia tech,+4,200%
mapquest driving directions,+250%
obama,+250%
barack obama,+200%
mapquest directions,+130%
passport application,+70%
uscis,+70%
passports,+60%



