News Search interest
United States; 2013

Interest over time
Week,Online Communities
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+14%
2013-01-20 - 2013-01-26,+6%
2013-01-27 - 2013-02-02,-1%
2013-02-03 - 2013-02-09,-6%
2013-02-10 - 2013-02-16,+7%
2013-02-17 - 2013-02-23,+0%
2013-02-24 - 2013-03-02,-6%
2013-03-03 - 2013-03-09,+0%
2013-03-10 - 2013-03-16,-6%
2013-03-17 - 2013-03-23,-6%
2013-03-24 - 2013-03-30,+4%
2013-03-31 - 2013-04-06,+17%
2013-04-07 - 2013-04-13,+9%
2013-04-14 - 2013-04-20,-7%
2013-04-21 - 2013-04-27,+14%
2013-04-28 - 2013-05-04,+9%
2013-05-05 - 2013-05-11,+6%
2013-05-12 - 2013-05-18,-6%
2013-05-19 - 2013-05-25,+7%
2013-05-26 - 2013-06-01,-1%
2013-06-02 - 2013-06-08,-4%
2013-06-09 - 2013-06-15,+3%
2013-06-16 - 2013-06-22,+7%
2013-06-23 - 2013-06-29,-6%
2013-06-30 - 2013-07-06,-3%
2013-07-07 - 2013-07-13,+1%
2013-07-14 - 2013-07-20,-3%
2013-07-21 - 2013-07-27,+25%
2013-07-28 - 2013-08-03,+26%
2013-08-04 - 2013-08-10,+16%
2013-08-11 - 2013-08-17,+12%
2013-08-18 - 2013-08-24,+20%
2013-08-25 - 2013-08-31,+7%
2013-09-01 - 2013-09-07,+14%
2013-09-08 - 2013-09-14,+10%
2013-09-15 - 2013-09-21,+9%
2013-09-22 - 2013-09-28,+12%
2013-09-29 - 2013-10-05,+10%
2013-10-06 - 2013-10-12,+16%
2013-10-13 - 2013-10-19,+20%
2013-10-20 - 2013-10-26,+33%
2013-10-27 - 2013-11-02,+23%
2013-11-03 - 2013-11-09,+43%
2013-11-10 - 2013-11-16,+19%
2013-11-17 - 2013-11-23,+14%
2013-11-24 - 2013-11-30,+28%
2013-12-01 - 2013-12-07,+14%
2013-12-08 - 2013-12-14,+20%
2013-12-15 - 2013-12-21,+32%
2013-12-22 - 2013-12-28,+45%
2013-12-29 - 2014-01-04,+29%



Top searches
facebook,100
twitter,15
facebook login,10
tumblr,10
women,5
linkedin,5
wallpaper,5
zuckerberg,5
mark zuckerberg,5
dating,0
social media,0
russian,0
pirate bay,0
images,0
face,0
chat,0
lana del rey,0
wallpapers,0
facebook home,0
myspace,0



Rising searches
facebook home,+800%
gifs,+200%
gif,+130%
facebook mobile,+120%
facebook en español,+90%
facebook español,+80%
tumblr,+80%
icon,+60%
backgrounds,+50%
images,+50%



