News Search interest
United States; Past 7 days

Interest over time
Day,Business & Industrial
2014-09-12,+0%
2014-09-13,-24%
2014-09-14,-30%
2014-09-15,+1%
2014-09-16,+11%
2014-09-17, 
2014-09-18, 



Top searches
nasa,100
spacex,90
fb,85
energy,70
space,60
ferguson,60
oil,55
business,55
solar,50
water,45
natural gas,35
david haines,30
china,25
california,25
marketing,25
ups,20
air france,20
aapl,20
yahoo,15



Rising searches
air france,Breakout
david haines,Breakout
natural gas,+120%
nasa,+50%
solar,+50%
spacex,+50%
space,+40%



