Image Search interest
United States; Past 7 days

Interest over time
Day,Food & Drink
2014-09-12,+0%
2014-09-13,-3%
2014-09-14,-2%
2014-09-15,-4%
2014-09-16,-1%
2014-09-17, 
2014-09-18, 



Top searches
cake,100
chicken,65
food,60
pizza,50
chocolate,45
cheese,40
cakes,40
beer,40
candy,40
fruit,35
coffee,30
ice cream,25
cupcakes,20
wine,20
frozen,20
cookies,20
salad,20
apple,20
pumpkin,20
birthday cake,20



Rising searches
viva mexico,Breakout
mexico,+250%
burger king,+100%
apples,+80%
pumpkin,+70%
tacos,+40%



