News Search interest
United States; 2010

Interest over time
Week,Arts & Entertainment
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+0%
2010-01-17 - 2010-01-23,-2%
2010-01-24 - 2010-01-30,-15%
2010-01-31 - 2010-02-06,+5%
2010-02-07 - 2010-02-13,-6%
2010-02-14 - 2010-02-20,-16%
2010-02-21 - 2010-02-27,-20%
2010-02-28 - 2010-03-06,-7%
2010-03-07 - 2010-03-13,+5%
2010-03-14 - 2010-03-20,-17%
2010-03-21 - 2010-03-27,-7%
2010-03-28 - 2010-04-03,-2%
2010-04-04 - 2010-04-10,-16%
2010-04-11 - 2010-04-17,+2%
2010-04-18 - 2010-04-24,-3%
2010-04-25 - 2010-05-01,+2%
2010-05-02 - 2010-05-08,-16%
2010-05-09 - 2010-05-15,-10%
2010-05-16 - 2010-05-22,+0%
2010-05-23 - 2010-05-29,+14%
2010-05-30 - 2010-06-05,-19%
2010-06-06 - 2010-06-12,-15%
2010-06-13 - 2010-06-19,-19%
2010-06-20 - 2010-06-26,-9%
2010-06-27 - 2010-07-03,-17%
2010-07-04 - 2010-07-10,-25%
2010-07-11 - 2010-07-17,-16%
2010-07-18 - 2010-07-24,-20%
2010-07-25 - 2010-07-31,-26%
2010-08-01 - 2010-08-07,-25%
2010-08-08 - 2010-08-14,-32%
2010-08-15 - 2010-08-21,-28%
2010-08-22 - 2010-08-28,-28%
2010-08-29 - 2010-09-04,-23%
2010-09-05 - 2010-09-11,-33%
2010-09-12 - 2010-09-18,-22%
2010-09-19 - 2010-09-25,-7%
2010-09-26 - 2010-10-02,-14%
2010-10-03 - 2010-10-09,-31%
2010-10-10 - 2010-10-16,-20%
2010-10-17 - 2010-10-23,-19%
2010-10-24 - 2010-10-30,-19%
2010-10-31 - 2010-11-06,-32%
2010-11-07 - 2010-11-13,-23%
2010-11-14 - 2010-11-20,-23%
2010-11-21 - 2010-11-27,-22%
2010-11-28 - 2010-12-04,-27%
2010-12-05 - 2010-12-11,-25%
2010-12-12 - 2010-12-18,-27%
2010-12-19 - 2010-12-25,-30%
2010-12-26 - 2011-01-01,-24%



Top searches
lohan,100
lindsay lohan,90
sandra bullock,85
youtube,75
gaga,75
lady gaga,70
american idol,60
miley cyrus,55
robert pattinson,50
kristen stewart,50
leno,50
mel gibson,40
jay leno,40
lost,40
bret michaels,35
jolie,35
michael jackson,35
kate gosselin,35
taylor swift,30
ufo,30



Rising searches
sandra bullock,+2,450%
bret michaels,+1,450%
artie lange,+800%
mel gibson,+750%
conan,+600%
lindsay lohan,+450%
lohan,+450%
droid,+350%
gaga,+250%
jay leno,+250%



