News Search interest
United States; Past 90 days

Interest over time
Day,Real Estate
2014-06-19,+0%
2014-06-20,-7%
2014-06-21,-12%
2014-06-22,-12%
2014-06-23,-15%
2014-06-24,-7%
2014-06-25,-16%
2014-06-26,-31%
2014-06-27,-16%
2014-06-28,-18%
2014-06-29,-16%
2014-06-30,-15%
2014-07-01,-19%
2014-07-02,-7%
2014-07-03,-4%
2014-07-04,-7%
2014-07-05,-9%
2014-07-06,-12%
2014-07-07,-10%
2014-07-08,-18%
2014-07-09,-16%
2014-07-10,-15%
2014-07-11,-21%
2014-07-12,-24%
2014-07-13,-16%
2014-07-14,-7%
2014-07-15,-4%
2014-07-16,-6%
2014-07-17,-10%
2014-07-18,-15%
2014-07-19,-6%
2014-07-20,+0%
2014-07-21,-7%
2014-07-22,-13%
2014-07-23,+21%
2014-07-24,-4%
2014-07-25,+4%
2014-07-26,-7%
2014-07-27,-10%
2014-07-28,+24%
2014-07-29,+47%
2014-07-30,+6%
2014-07-31,-12%
2014-08-01,-7%
2014-08-02,-18%
2014-08-03,-10%
2014-08-04,-7%
2014-08-05,-9%
2014-08-06,-10%
2014-08-07,-3%
2014-08-08,-24%
2014-08-09,-16%
2014-08-10,-16%
2014-08-11,-22%
2014-08-12,-22%
2014-08-13,-19%
2014-08-14,-24%
2014-08-15,-24%
2014-08-16,-22%
2014-08-17,-16%
2014-08-18,-15%
2014-08-19,-19%
2014-08-20,-19%
2014-08-21,-19%
2014-08-22,-18%
2014-08-23,-26%
2014-08-24,-26%
2014-08-25,-16%
2014-08-26,-15%
2014-08-27,-19%
2014-08-28,-21%
2014-08-29,-22%
2014-08-30,-25%
2014-08-31,-28%
2014-09-01,-34%
2014-09-02,-25%
2014-09-03,-22%
2014-09-04,-28%
2014-09-05,-24%
2014-09-06,-19%
2014-09-07,-28%
2014-09-08,-28%
2014-09-09,-26%
2014-09-10,-28%
2014-09-11,-25%
2014-09-12,-19%
2014-09-13,-22%
2014-09-14,-26%
2014-09-15,-25%
2014-09-16,-19%
2014-09-17, 
2014-09-18, 



Top searches
florida,100
real,100
real estate,90
apartments,85
rent,85
homes,70
for rent,65
housing,55
house,50
zillow,50
houses,40
home,35
homes for sale,30
trulia,25
tulsa,25
prilly,20
orlando,20
mls,15
housing market,15
houses for rent,15



Rising searches
ryan dorsey,Breakout
prilly aliando,+350%
aliando,+300%
aliando dan prilly,+250%
prilly,+250%
sia,+250%
foto prilly,+180%
trulia,+150%
prilly latuconsina,+130%
holland,+60%



