News Search interest
United States; 2012

Interest over time
Week,Online Communities
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+0%
2012-01-15 - 2012-01-21,+56%
2012-01-22 - 2012-01-28,+66%
2012-01-29 - 2012-02-04,+66%
2012-02-05 - 2012-02-11,+40%
2012-02-12 - 2012-02-18,+16%
2012-02-19 - 2012-02-25,+30%
2012-02-26 - 2012-03-03,+10%
2012-03-04 - 2012-03-10,+12%
2012-03-11 - 2012-03-17,+8%
2012-03-18 - 2012-03-24,+14%
2012-03-25 - 2012-03-31,+12%
2012-04-01 - 2012-04-07,+16%
2012-04-08 - 2012-04-14,+20%
2012-04-15 - 2012-04-21,+12%
2012-04-22 - 2012-04-28,+18%
2012-04-29 - 2012-05-05,+20%
2012-05-06 - 2012-05-12,+28%
2012-05-13 - 2012-05-19,+90%
2012-05-20 - 2012-05-26,+100%
2012-05-27 - 2012-06-02,+64%
2012-06-03 - 2012-06-09,+72%
2012-06-10 - 2012-06-16,+36%
2012-06-17 - 2012-06-23,+40%
2012-06-24 - 2012-06-30,+24%
2012-07-01 - 2012-07-07,+30%
2012-07-08 - 2012-07-14,+24%
2012-07-15 - 2012-07-21,+26%
2012-07-22 - 2012-07-28,+38%
2012-07-29 - 2012-08-04,+30%
2012-08-05 - 2012-08-11,+24%
2012-08-12 - 2012-08-18,+36%
2012-08-19 - 2012-08-25,+36%
2012-08-26 - 2012-09-01,+28%
2012-09-02 - 2012-09-08,+26%
2012-09-09 - 2012-09-15,+16%
2012-09-16 - 2012-09-22,+20%
2012-09-23 - 2012-09-29,+32%
2012-09-30 - 2012-10-06,+46%
2012-10-07 - 2012-10-13,+28%
2012-10-14 - 2012-10-20,+36%
2012-10-21 - 2012-10-27,+32%
2012-10-28 - 2012-11-03,+2%
2012-11-04 - 2012-11-10,-2%
2012-11-11 - 2012-11-17,+16%
2012-11-18 - 2012-11-24,+22%
2012-11-25 - 2012-12-01,+26%
2012-12-02 - 2012-12-08,+20%
2012-12-09 - 2012-12-15,+38%
2012-12-16 - 2012-12-22,+18%
2012-12-23 - 2012-12-29,+58%
2012-12-30 - 2013-01-05,+30%



Top searches
facebook,100
twitter,15
facebook login,10
tumblr,5
linkedin,5
megaupload,5
pirate bay,5
social media,5
women,5
zuckerberg,5
dating,0
wallpaper,0
lana del rey,0
mark zuckerberg,0
huffingtonpost,0
demonoid,0
torrent,0
face,0
myspace,0
the pirate bay,0



Rising searches
daniel von bargen,Breakout
instagram,Breakout
megaupload,+800%
lana del rey,+700%
peña nieto,+550%
huffingtonpost,+300%
demonoid,+250%
wallpaper,+200%
wallpapers,+190%
piratebay,+170%



