News Search interest
United States; Past 30 days

Interest over time
Day,People & Society
2014-08-19,+0%
2014-08-20,+16%
2014-08-21,+9%
2014-08-22,+8%
2014-08-23,+5%
2014-08-24,-1%
2014-08-25,-7%
2014-08-26,+1%
2014-08-27,+0%
2014-08-28,-2%
2014-08-29,-5%
2014-08-30,-5%
2014-08-31,-2%
2014-09-01,+6%
2014-09-02,+0%
2014-09-03,+6%
2014-09-04,-2%
2014-09-05,-2%
2014-09-06,-1%
2014-09-07,-1%
2014-09-08,-6%
2014-09-09,-8%
2014-09-10,-9%
2014-09-11,-5%
2014-09-12,-8%
2014-09-13,-3%
2014-09-14,+0%
2014-09-15,-3%
2014-09-16,-5%
2014-09-17, 
2014-09-18, 



Top searches
foley,100
marriage,85
james foley,80
india,70
pregnant,45
baby,40
girls,40
same-sex marriage,35
us,30
duggar,30
boko haram,25
isis,25
jennifer lawrence,25
tmz,25
immigration,25
economy,25
ufo,25
climate change,20
divorce,20
bible,20



Rising searches
foley video,Breakout
james foley,Breakout
james foley video,Breakout
janet yellen,Breakout
foley,+4,100%
jennifer lawrence,+1,200%
isis,+140%
duggar,+130%
boko haram,+80%
islamic state,+60%



