News Search interest
United States; 2013

Interest over time
Week,Books & Literature
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+14%
2013-01-20 - 2013-01-26,+30%
2013-01-27 - 2013-02-02,+7%
2013-02-03 - 2013-02-09,+12%
2013-02-10 - 2013-02-16,+5%
2013-02-17 - 2013-02-23,+9%
2013-02-24 - 2013-03-02,+12%
2013-03-03 - 2013-03-09,+2%
2013-03-10 - 2013-03-16,+14%
2013-03-17 - 2013-03-23,+14%
2013-03-24 - 2013-03-30,+7%
2013-03-31 - 2013-04-06,+23%
2013-04-07 - 2013-04-13,+14%
2013-04-14 - 2013-04-20,+0%
2013-04-21 - 2013-04-27,+14%
2013-04-28 - 2013-05-04,+44%
2013-05-05 - 2013-05-11,+65%
2013-05-12 - 2013-05-18,+84%
2013-05-19 - 2013-05-25,+26%
2013-05-26 - 2013-06-01,+5%
2013-06-02 - 2013-06-08,+133%
2013-06-09 - 2013-06-15,+53%
2013-06-16 - 2013-06-22,+2%
2013-06-23 - 2013-06-29,-9%
2013-06-30 - 2013-07-06,-7%
2013-07-07 - 2013-07-13,-5%
2013-07-14 - 2013-07-20,+49%
2013-07-21 - 2013-07-27,+2%
2013-07-28 - 2013-08-03,+2%
2013-08-04 - 2013-08-10,-2%
2013-08-11 - 2013-08-17,+0%
2013-08-18 - 2013-08-24,+9%
2013-08-25 - 2013-08-31,+28%
2013-09-01 - 2013-09-07,+33%
2013-09-08 - 2013-09-14,+56%
2013-09-15 - 2013-09-21,+16%
2013-09-22 - 2013-09-28,+21%
2013-09-29 - 2013-10-05,+12%
2013-10-06 - 2013-10-12,+26%
2013-10-13 - 2013-10-19,+14%
2013-10-20 - 2013-10-26,+19%
2013-10-27 - 2013-11-02,+12%
2013-11-03 - 2013-11-09,+7%
2013-11-10 - 2013-11-16,+14%
2013-11-17 - 2013-11-23,+21%
2013-11-24 - 2013-11-30,+5%
2013-12-01 - 2013-12-07,+7%
2013-12-08 - 2013-12-14,+16%
2013-12-15 - 2013-12-21,+14%
2013-12-22 - 2013-12-28,+19%
2013-12-29 - 2014-01-04,+7%



Top searches
quotes,100
game of thrones,70
book,40
books,25
rowling,20
magazine,20
harry,20
harry potter,15
pretty little liars,15
vampire diaries,15
gatsby,15
j. k. rowling,15
great gatsby,15
barnes noble,10
love quotes,10
ariel castro,10
quote,10
the great gatsby,10
poem,10
poems,10



Rising searches
ariel castro,Breakout
j. k. rowling,Breakout
gatsby,+350%
the great gatsby,+350%
great gatsby,+300%
frases,+250%
amor,+200%
love quotes,+110%
fanfiction,+90%
rowling,+80%



