Image Search interest
United States; Past 30 days

Interest over time
Day,Books & Literature
2014-08-19,+0%
2014-08-20,+0%
2014-08-21,-2%
2014-08-22,-6%
2014-08-23,-6%
2014-08-24,-5%
2014-08-25,-4%
2014-08-26,+3%
2014-08-27,+0%
2014-08-28,-4%
2014-08-29,-6%
2014-08-30,-6%
2014-08-31,-5%
2014-09-01,-9%
2014-09-02,-8%
2014-09-03,-4%
2014-09-04,-4%
2014-09-05,-2%
2014-09-06,-8%
2014-09-07,-7%
2014-09-08,-1%
2014-09-09,+2%
2014-09-10,-1%
2014-09-11,-3%
2014-09-12,-3%
2014-09-13,-6%
2014-09-14,-6%
2014-09-15,+4%
2014-09-16,+2%
2014-09-17, 
2014-09-18, 



Top searches
quotes,100
love,15
love quotes,10
life quotes,5
funny quotes,5
book,5
quotes tumblr,5
quote,5
frases,5
quotes about life,5
books,5
poems,5
inspirational quotes,5
sayings,5
cute quotes,5
quotes about love,5
amor,0
game of thrones,0
best quotes,0
de amor,0



Rising searches
9/11,Breakout
9/11 quotes,Breakout
mla format,+350%
writing,+80%
football quotes,+70%
famous quotes,+60%
quotes about change,+60%
books,+50%
poetry,+50%
shakespeare,+50%



