YouTube Search interest
United States; Past 90 days

Interest over time
Day,Science
2014-06-20,+0%
2014-06-21,-2%
2014-06-22,+8%
2014-06-23,+13%
2014-06-24,+6%
2014-06-25,+10%
2014-06-26,+10%
2014-06-27,+6%
2014-06-28,+3%
2014-06-29,+5%
2014-06-30,+13%
2014-07-01,+10%
2014-07-02,+11%
2014-07-03,+8%
2014-07-04,-5%
2014-07-05,+2%
2014-07-06,+5%
2014-07-07,+11%
2014-07-08,+13%
2014-07-09,+11%
2014-07-10,+10%
2014-07-11,+3%
2014-07-12,+3%
2014-07-13,+5%
2014-07-14,+5%
2014-07-15,+10%
2014-07-16,+5%
2014-07-17,+10%
2014-07-18,+3%
2014-07-19,-6%
2014-07-20,+0%
2014-07-21,+8%
2014-07-22,+11%
2014-07-23,+11%
2014-07-24,+3%
2014-07-25,+5%
2014-07-26,-3%
2014-07-27,-2%
2014-07-28,+5%
2014-07-29,+6%
2014-07-30,+10%
2014-07-31,+3%
2014-08-01,+3%
2014-08-02,+2%
2014-08-03,+3%
2014-08-04,+8%
2014-08-05,+8%
2014-08-06,+6%
2014-08-07,+8%
2014-08-08,+3%
2014-08-09,+2%
2014-08-10,-6%
2014-08-11,+3%
2014-08-12,+8%
2014-08-13,+10%
2014-08-14,+13%
2014-08-15,+10%
2014-08-16,-2%
2014-08-17,+2%
2014-08-18,+15%
2014-08-19,+13%
2014-08-20,+16%
2014-08-21,+19%
2014-08-22,+15%
2014-08-23,+3%
2014-08-24,+3%
2014-08-25,+21%
2014-08-26,+24%
2014-08-27,+34%
2014-08-28,+31%
2014-08-29,+29%
2014-08-30,+5%
2014-08-31,+16%
2014-09-01,+18%
2014-09-02,+42%
2014-09-03,+39%
2014-09-04,+47%
2014-09-05,+34%
2014-09-06,+15%
2014-09-07,+26%
2014-09-08,+48%
2014-09-09,+50%
2014-09-10,+61%
2014-09-11,+48%
2014-09-12,+40%
2014-09-13,+15%
2014-09-14,+27%
2014-09-15,+53%
2014-09-16,+53%
2014-09-17,+55%
2014-09-18, 
2014-09-19, 



Top searches
science,100
black widow,75
game theory,65
animals,60
math,45
bill nye,45
o2l,45
big bang,40
robot,40
dinosaur,35
big bang theory,35
windows 7,30
iggy black widow,30
physics,25
chemistry,25
dinosaurs,25
drone,25
java,25
gta5,25
sea,20



Rising searches
fireworks drone,Breakout
swatted,Breakout
iggy black widow,+1,850%
black widow,+1,000%
scientific method,+650%
falcon lover,+200%
habits,+200%
ultraviolence,+160%
lana del rey,+150%
drone,+130%



