News Search interest
United States; 2009

Interest over time
Week,Business & Industrial
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+59%
2009-01-18 - 2009-01-24,+2%
2009-01-25 - 2009-01-31,+51%
2009-02-01 - 2009-02-07,+5%
2009-02-08 - 2009-02-14,+93%
2009-02-15 - 2009-02-21,+54%
2009-02-22 - 2009-02-28,+144%
2009-03-01 - 2009-03-07,+24%
2009-03-08 - 2009-03-14,+29%
2009-03-15 - 2009-03-21,+17%
2009-03-22 - 2009-03-28,+22%
2009-03-29 - 2009-04-04,+15%
2009-04-05 - 2009-04-11,-5%
2009-04-12 - 2009-04-18,+0%
2009-04-19 - 2009-04-25,+2%
2009-04-26 - 2009-05-02,-22%
2009-05-03 - 2009-05-09,-7%
2009-05-10 - 2009-05-16,+7%
2009-05-17 - 2009-05-23,-12%
2009-05-24 - 2009-05-30,-12%
2009-05-31 - 2009-06-06,+34%
2009-06-07 - 2009-06-13,+27%
2009-06-14 - 2009-06-20,+32%
2009-06-21 - 2009-06-27,+10%
2009-06-28 - 2009-07-04,+7%
2009-07-05 - 2009-07-11,+17%
2009-07-12 - 2009-07-18,+41%
2009-07-19 - 2009-07-25,+34%
2009-07-26 - 2009-08-01,+22%
2009-08-02 - 2009-08-08,+20%
2009-08-09 - 2009-08-15,+15%
2009-08-16 - 2009-08-22,+12%
2009-08-23 - 2009-08-29,+15%
2009-08-30 - 2009-09-05,+10%
2009-09-06 - 2009-09-12,+2%
2009-09-13 - 2009-09-19,+15%
2009-09-20 - 2009-09-26,+29%
2009-09-27 - 2009-10-03,+10%
2009-10-04 - 2009-10-10,+20%
2009-10-11 - 2009-10-17,+20%
2009-10-18 - 2009-10-24,+15%
2009-10-25 - 2009-10-31,+15%
2009-11-01 - 2009-11-07,+7%
2009-11-08 - 2009-11-14,+10%
2009-11-15 - 2009-11-21,+10%
2009-11-22 - 2009-11-28,-10%
2009-11-29 - 2009-12-05,+2%
2009-12-06 - 2009-12-12,+7%
2009-12-13 - 2009-12-19,+29%
2009-12-20 - 2009-12-26,-12%
2009-12-27 - 2010-01-02,-15%



Top searches
stimulus,100
oscar,55
energy,45
dow,35
oil,30
stimulus package,30
layoffs,30
space,30
solar,25
oscars,25
business,25
obama stimulus,25
oscar 2009,25
shuttle,25
air france,25
academy awards,20
dow jones,20
gm,20
california budget,20
water,20



Rising searches
oscar 2009,Breakout
oscars 2009,Breakout
air france,+1,800%
obama stimulus package,+800%
obama stimulus,+750%
787,+300%
moon,+180%
layoffs,+170%
stimulus package,+150%
layoff,+110%



