Image Search interest
United States; 2009

Interest over time
Week,Books & Literature
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+8%
2009-01-18 - 2009-01-24,+0%
2009-01-25 - 2009-01-31,-1%
2009-02-01 - 2009-02-07,+1%
2009-02-08 - 2009-02-14,+4%
2009-02-15 - 2009-02-21,-2%
2009-02-22 - 2009-02-28,+9%
2009-03-01 - 2009-03-07,+18%
2009-03-08 - 2009-03-14,+6%
2009-03-15 - 2009-03-21,+4%
2009-03-22 - 2009-03-28,+7%
2009-03-29 - 2009-04-04,+5%
2009-04-05 - 2009-04-11,-1%
2009-04-12 - 2009-04-18,-2%
2009-04-19 - 2009-04-25,+6%
2009-04-26 - 2009-05-02,+8%
2009-05-03 - 2009-05-09,+5%
2009-05-10 - 2009-05-16,+9%
2009-05-17 - 2009-05-23,+14%
2009-05-24 - 2009-05-30,+5%
2009-05-31 - 2009-06-06,+2%
2009-06-07 - 2009-06-13,-7%
2009-06-14 - 2009-06-20,-15%
2009-06-21 - 2009-06-27,-20%
2009-06-28 - 2009-07-04,-21%
2009-07-05 - 2009-07-11,-19%
2009-07-12 - 2009-07-18,-4%
2009-07-19 - 2009-07-25,-9%
2009-07-26 - 2009-08-01,-13%
2009-08-02 - 2009-08-08,-15%
2009-08-09 - 2009-08-15,-18%
2009-08-16 - 2009-08-22,-11%
2009-08-23 - 2009-08-29,-13%
2009-08-30 - 2009-09-05,-7%
2009-09-06 - 2009-09-12,-2%
2009-09-13 - 2009-09-19,+2%
2009-09-20 - 2009-09-26,+0%
2009-09-27 - 2009-10-03,+6%
2009-10-04 - 2009-10-10,+1%
2009-10-11 - 2009-10-17,+7%
2009-10-18 - 2009-10-24,+12%
2009-10-25 - 2009-10-31,+11%
2009-11-01 - 2009-11-07,+7%
2009-11-08 - 2009-11-14,+12%
2009-11-15 - 2009-11-21,+15%
2009-11-22 - 2009-11-28,-2%
2009-11-29 - 2009-12-05,+5%
2009-12-06 - 2009-12-12,+7%
2009-12-13 - 2009-12-19,+8%
2009-12-20 - 2009-12-26,-14%
2009-12-27 - 2010-01-02,-13%



Top searches
quotes,100
book,100
love,60
books,50
harry potter,45
magazine,45
amor,35
alice,35
poems,30
marilyn,30
love quotes,30
marilyn monroe,25
alice in wonderland,25
pooh,25
romeo,20
sayings,20
juliet,20
book cover,20
martin luther king,20
romeo and juliet,20



Rising searches
sayings and quotes,+900%
life quotes,+200%
frases,+150%
de amor,+140%
love quotes,+140%
funny quotes,+110%
poemas,+80%
sayings,+80%
amor,+70%
quotes,+60%



