Image Search interest
United States; Past 90 days

Interest over time
Day,Sports
2014-06-19,+0%
2014-06-20,-1%
2014-06-21,+6%
2014-06-22,+16%
2014-06-23,+11%
2014-06-24,+6%
2014-06-25,+3%
2014-06-26,+9%
2014-06-27,-3%
2014-06-28,+6%
2014-06-29,+5%
2014-06-30,-4%
2014-07-01,+9%
2014-07-02,-8%
2014-07-03,-14%
2014-07-04,-1%
2014-07-05,+8%
2014-07-06,+0%
2014-07-07,-11%
2014-07-08,+6%
2014-07-09,+10%
2014-07-10,-3%
2014-07-11,+5%
2014-07-12,+4%
2014-07-13,+27%
2014-07-14,+9%
2014-07-15,-5%
2014-07-16,-8%
2014-07-17,-10%
2014-07-18,-14%
2014-07-19,-11%
2014-07-20,-13%
2014-07-21,-14%
2014-07-22,-15%
2014-07-23,-14%
2014-07-24,-18%
2014-07-25,-16%
2014-07-26,-14%
2014-07-27,-13%
2014-07-28,-18%
2014-07-29,-18%
2014-07-30,-18%
2014-07-31,-20%
2014-08-01,-15%
2014-08-02,-10%
2014-08-03,-14%
2014-08-04,-15%
2014-08-05,-13%
2014-08-06,-14%
2014-08-07,-8%
2014-08-08,-11%
2014-08-09,-9%
2014-08-10,-5%
2014-08-11,-10%
2014-08-12,-11%
2014-08-13,-10%
2014-08-14,-14%
2014-08-15,-8%
2014-08-16,+0%
2014-08-17,-6%
2014-08-18,-6%
2014-08-19,-10%
2014-08-20,-15%
2014-08-21,-10%
2014-08-22,-13%
2014-08-23,-9%
2014-08-24,-9%
2014-08-25,-11%
2014-08-26,-8%
2014-08-27,-10%
2014-08-28,-5%
2014-08-29,-5%
2014-08-30,+3%
2014-08-31,-3%
2014-09-01,-11%
2014-09-02,-11%
2014-09-03,-10%
2014-09-04,-4%
2014-09-05,-1%
2014-09-06,-1%
2014-09-07,+23%
2014-09-08,+9%
2014-09-09,+1%
2014-09-10,-11%
2014-09-11,-13%
2014-09-12,-6%
2014-09-13,-3%
2014-09-14,+10%
2014-09-15,-5%
2014-09-16,-10%
2014-09-17, 
2014-09-18, 



Top searches
football,100
soccer,65
world cup,55
wwe,45
lebron,40
baseball,40
basketball,40
ariana grande,30
ronaldo,30
world cup 2014,30
messi,25
bike,25
nfl,20
lebron james,20
neymar,20
cristiano ronaldo,20
nba,20
brazil,15
volleyball,15
sports,15



Rising searches
ray rice,+1,250%
ronda rousey,+250%
neymar,+130%
49ers,+110%
cowboys,+100%
messi,+90%
ariana grande,+80%
football,+80%
world cup,+80%
brazil,+60%



