Image Search interest
United States; 2010

Interest over time
Week,Finance
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+7%
2010-01-17 - 2010-01-23,+1%
2010-01-24 - 2010-01-30,+2%
2010-01-31 - 2010-02-06,+1%
2010-02-07 - 2010-02-13,+6%
2010-02-14 - 2010-02-20,+2%
2010-02-21 - 2010-02-27,+10%
2010-02-28 - 2010-03-06,+8%
2010-03-07 - 2010-03-13,+8%
2010-03-14 - 2010-03-20,+8%
2010-03-21 - 2010-03-27,+10%
2010-03-28 - 2010-04-03,+0%
2010-04-04 - 2010-04-10,+9%
2010-04-11 - 2010-04-17,+16%
2010-04-18 - 2010-04-24,+9%
2010-04-25 - 2010-05-01,+14%
2010-05-02 - 2010-05-08,+8%
2010-05-09 - 2010-05-15,+10%
2010-05-16 - 2010-05-22,+10%
2010-05-23 - 2010-05-29,+12%
2010-05-30 - 2010-06-05,+3%
2010-06-06 - 2010-06-12,+8%
2010-06-13 - 2010-06-19,+5%
2010-06-20 - 2010-06-26,+7%
2010-06-27 - 2010-07-03,+0%
2010-07-04 - 2010-07-10,-15%
2010-07-11 - 2010-07-17,+2%
2010-07-18 - 2010-07-24,+0%
2010-07-25 - 2010-07-31,-1%
2010-08-01 - 2010-08-07,+0%
2010-08-08 - 2010-08-14,-5%
2010-08-15 - 2010-08-21,+0%
2010-08-22 - 2010-08-28,-1%
2010-08-29 - 2010-09-04,-1%
2010-09-05 - 2010-09-11,-1%
2010-09-12 - 2010-09-18,+1%
2010-09-19 - 2010-09-25,+2%
2010-09-26 - 2010-10-02,+6%
2010-10-03 - 2010-10-09,+3%
2010-10-10 - 2010-10-16,+3%
2010-10-17 - 2010-10-23,+8%
2010-10-24 - 2010-10-30,-2%
2010-10-31 - 2010-11-06,+0%
2010-11-07 - 2010-11-13,+10%
2010-11-14 - 2010-11-20,+6%
2010-11-21 - 2010-11-27,-12%
2010-11-28 - 2010-12-04,+1%
2010-12-05 - 2010-12-11,+2%
2010-12-12 - 2010-12-18,+0%
2010-12-19 - 2010-12-25,-13%
2010-12-26 - 2011-01-01,-16%



Top searches
money,100
bank,80
credit,55
insurance,40
credit card,35
dollar,30
chase,25
stock,25
check,20
visa,15
currency,15
tax,15
fx,15
bank of america,15
geico,15
financial,15
penny,15
euro,15
capital,10
banks,10



Rising searches
archer,Breakout
archer fx,Breakout
inception,Breakout
sharp fx,Breakout
fx,+120%
bounty hunter,+80%
allstate,+70%
naranja,+60%
chase bank,+50%
deutsche bank,+50%



