YouTube Search interest
United States; Past 7 days

Interest over time
Day,Hobbies & Leisure
2014-09-13,+0%
2014-09-14,+0%
2014-09-15,-5%
2014-09-16,-6%
2014-09-17,-7%
2014-09-18, 
2014-09-19, 



Top searches
anaconda,100
dog,65
cat,50
minecraft,35
fishing,30
christmas,30
dogs,30
scary,25
halloween,25
faze,20
pony,20
pitbull,20
cats,20
happy birthday,15
trolling,15
birds,15
airsoft,15
terraria,15
my little pony,15
horse,15



Rising searches
giancarlo stanton,Breakout
rainbow loom,+70%
attack on titan,+50%



