News Search interest
United States; Past 90 days

Interest over time
Day,Internet & Telecom
2014-06-19,+0%
2014-06-20,-10%
2014-06-21,-10%
2014-06-22,-14%
2014-06-23,-14%
2014-06-24,+0%
2014-06-25,+14%
2014-06-26,+10%
2014-06-27,+10%
2014-06-28,+0%
2014-06-29,-7%
2014-06-30,-10%
2014-07-01,-10%
2014-07-02,-7%
2014-07-03,-10%
2014-07-04,-14%
2014-07-05,-17%
2014-07-06,-14%
2014-07-07,-14%
2014-07-08,-7%
2014-07-09,-10%
2014-07-10,-3%
2014-07-11,-3%
2014-07-12,-14%
2014-07-13,-14%
2014-07-14,-10%
2014-07-15,+0%
2014-07-16,+10%
2014-07-17,+3%
2014-07-18,-7%
2014-07-19,-7%
2014-07-20,-3%
2014-07-21,+7%
2014-07-22,+7%
2014-07-23,+31%
2014-07-24,+34%
2014-07-25,+31%
2014-07-26,-7%
2014-07-27,-10%
2014-07-28,-7%
2014-07-29,-7%
2014-07-30,-7%
2014-07-31,-7%
2014-08-01,-10%
2014-08-02,-14%
2014-08-03,-10%
2014-08-04,-14%
2014-08-05,-3%
2014-08-06,+17%
2014-08-07,+10%
2014-08-08,-3%
2014-08-09,-10%
2014-08-10,-17%
2014-08-11,-21%
2014-08-12,-21%
2014-08-13,-17%
2014-08-14,+0%
2014-08-15,+14%
2014-08-16,+34%
2014-08-17,+3%
2014-08-18,+10%
2014-08-19,+7%
2014-08-20,+10%
2014-08-21,+14%
2014-08-22,+10%
2014-08-23,+3%
2014-08-24,-3%
2014-08-25,-7%
2014-08-26,+3%
2014-08-27,+21%
2014-08-28,+10%
2014-08-29,+34%
2014-08-30,+17%
2014-08-31,+17%
2014-09-01,+7%
2014-09-02,+0%
2014-09-03,+28%
2014-09-04,+38%
2014-09-05,+28%
2014-09-06,+28%
2014-09-07,+21%
2014-09-08,+45%
2014-09-09,+245%
2014-09-10,+152%
2014-09-11,+100%
2014-09-12,+117%
2014-09-13,+62%
2014-09-14,+34%
2014-09-15,+69%
2014-09-16,+55%
2014-09-17, 
2014-09-18, 



Top searches
iphone,100
google,50
iphone 6,45
android,15
samsung,15
mail,10
verizon,10
phone,10
yahoo,10
yahoo mail,10
sprint,10
mobile,5
apple,5
twitter,5
at&t,5
comcast,5
iphone 6 release,5
time warner,5
htc,5
nokia,5



Rising searches
iphone 6 plus,Breakout
ferguson,+3,600%
purge,+2,900%
the purge,+1,550%
iphone,+250%
iphone 6,+250%
verizon communications,+250%
iphone 6 release,+200%
note 4,+200%
sprint corporation,+200%



