News Search interest
United States; 2013

Interest over time
Week,Internet & Telecom
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-7%
2013-01-20 - 2013-01-26,+3%
2013-01-27 - 2013-02-02,-2%
2013-02-03 - 2013-02-09,-5%
2013-02-10 - 2013-02-16,-2%
2013-02-17 - 2013-02-23,+0%
2013-02-24 - 2013-03-02,-3%
2013-03-03 - 2013-03-09,-5%
2013-03-10 - 2013-03-16,-3%
2013-03-17 - 2013-03-23,+9%
2013-03-24 - 2013-03-30,+9%
2013-03-31 - 2013-04-06,+9%
2013-04-07 - 2013-04-13,+12%
2013-04-14 - 2013-04-20,+0%
2013-04-21 - 2013-04-27,+16%
2013-04-28 - 2013-05-04,+14%
2013-05-05 - 2013-05-11,+7%
2013-05-12 - 2013-05-18,+14%
2013-05-19 - 2013-05-25,-10%
2013-05-26 - 2013-06-01,-2%
2013-06-02 - 2013-06-08,+10%
2013-06-09 - 2013-06-15,-3%
2013-06-16 - 2013-06-22,-2%
2013-06-23 - 2013-06-29,-3%
2013-06-30 - 2013-07-06,-5%
2013-07-07 - 2013-07-13,+21%
2013-07-14 - 2013-07-20,+17%
2013-07-21 - 2013-07-27,+41%
2013-07-28 - 2013-08-03,+10%
2013-08-04 - 2013-08-10,+0%
2013-08-11 - 2013-08-17,+31%
2013-08-18 - 2013-08-24,+17%
2013-08-25 - 2013-08-31,+2%
2013-09-01 - 2013-09-07,+48%
2013-09-08 - 2013-09-14,+72%
2013-09-15 - 2013-09-21,+48%
2013-09-22 - 2013-09-28,+50%
2013-09-29 - 2013-10-05,-7%
2013-10-06 - 2013-10-12,-2%
2013-10-13 - 2013-10-19,+9%
2013-10-20 - 2013-10-26,+12%
2013-10-27 - 2013-11-02,+31%
2013-11-03 - 2013-11-09,+9%
2013-11-10 - 2013-11-16,-3%
2013-11-17 - 2013-11-23,-12%
2013-11-24 - 2013-11-30,-10%
2013-12-01 - 2013-12-07,-14%
2013-12-08 - 2013-12-14,-7%
2013-12-15 - 2013-12-21,-7%
2013-12-22 - 2013-12-28,+0%
2013-12-29 - 2014-01-04,-17%



Top searches
iphone,100
google,95
iphone 5,45
samsung,35
android,35
nexus,30
verizon,30
blackberry,25
htc,25
mail,20
mobile,20
yahoo,20
sprint,20
samsung galaxy,15
twitter,15
at&t,15
yahoo mail,15
app,15
htc one,10
nokia,10



Rising searches
galaxy s4,+2,750%
iphone 5s,+2,750%
nexus 5,+1,600%
iphone 6,+500%
samsung group,+500%
blackberry,+140%
xperia,+130%
htc one,+120%
ios,+120%
microsoft,+120%



