YouTube Search interest
United States; Past 7 days

Interest over time
Day,Games
2014-09-13,+0%
2014-09-14,+0%
2014-09-15,-15%
2014-09-16,-17%
2014-09-17,-19%
2014-09-18, 
2014-09-19, 



Top searches
gta,100
minecraft,95
games,90
destiny,85
mario,80
gta 5,70
pokemon,60
smash bros,60
sonic,45
super smash bros,40
skyrim,40
xbox 360,40
call of duty,40
sims 4,40
destiny gameplay,35
game grumps,35
halo,35
black ops 2,30
madden 15,30
ps4,30



Rising searches
smash bros 3ds,+450%
ssb4,+160%
super smash bros,+90%
smash bros,+80%
battlefield 4,+60%
minecraft hunger games,+60%
skyrim mods,+60%
super mario bros,+60%
mario kart 8,+50%
smosh,+50%



