Google Shopping interest
United States; Past 12 months

Interest over time
Week,Online Communities
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-1%
2013-09-29 - 2013-10-05,+3%
2013-10-06 - 2013-10-12,+7%
2013-10-13 - 2013-10-19,+11%
2013-10-20 - 2013-10-26,+9%
2013-10-27 - 2013-11-02,+11%
2013-11-03 - 2013-11-09,+9%
2013-11-10 - 2013-11-16,-6%
2013-11-17 - 2013-11-23,-7%
2013-11-24 - 2013-11-30,-11%
2013-12-01 - 2013-12-07,-14%
2013-12-08 - 2013-12-14,-16%
2013-12-15 - 2013-12-21,-9%
2013-12-22 - 2013-12-28,+20%
2013-12-29 - 2014-01-04,+10%
2014-01-05 - 2014-01-11,+6%
2014-01-12 - 2014-01-18,+3%
2014-01-19 - 2014-01-25,+11%
2014-01-26 - 2014-02-01,+9%
2014-02-02 - 2014-02-08,+16%
2014-02-09 - 2014-02-15,+9%
2014-02-16 - 2014-02-22,+4%
2014-02-23 - 2014-03-01,+11%
2014-03-02 - 2014-03-08,+7%
2014-03-09 - 2014-03-15,+13%
2014-03-16 - 2014-03-22,+13%
2014-03-23 - 2014-03-29,+10%
2014-03-30 - 2014-04-05,+7%
2014-04-06 - 2014-04-12,+16%
2014-04-13 - 2014-04-19,+14%
2014-04-20 - 2014-04-26,+11%
2014-04-27 - 2014-05-03,+16%
2014-05-04 - 2014-05-10,+24%
2014-05-11 - 2014-05-17,+40%
2014-05-18 - 2014-05-24,+36%
2014-05-25 - 2014-05-31,+34%
2014-06-01 - 2014-06-07,+36%
2014-06-08 - 2014-06-14,+33%
2014-06-15 - 2014-06-21,+39%
2014-06-22 - 2014-06-28,+36%
2014-06-29 - 2014-07-05,+41%
2014-07-06 - 2014-07-12,+31%
2014-07-13 - 2014-07-19,+29%
2014-07-20 - 2014-07-26,+37%
2014-07-27 - 2014-08-02,+36%
2014-08-03 - 2014-08-09,+34%
2014-08-10 - 2014-08-16,+37%
2014-08-17 - 2014-08-23,+40%
2014-08-24 - 2014-08-30,+43%
2014-08-31 - 2014-09-06,+41%
2014-09-07 - 2014-09-13,+36%
2014-09-14 - 2014-09-20,+41%



Top searches
facebook,100
facebook facebook,100
login facebook,20
wallpaper,10
tumblr,10
louboutin,5
twitter,5
fuse,5
christian louboutin,5
icon,5
zebra,5
images,0
wallpapers,0
backgrounds,0
glitter,0
streamlight,0
facebook mobile,0
desktop,0
play doh,0
club penguin,0



Rising searches
mocospace,+350%
facebook mobile,+250%
lifeproof nuud,+250%
gifs,+200%
wallpapers,+160%
tumblr,+140%
pof,+130%
backgrounds,+100%
facebook,+80%
facebook facebook,+80%



