News Search interest
United States; 2012

Interest over time
Week,Hobbies & Leisure
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,-27%
2012-01-15 - 2012-01-21,-31%
2012-01-22 - 2012-01-28,-27%
2012-01-29 - 2012-02-04,-13%
2012-02-05 - 2012-02-11,-29%
2012-02-12 - 2012-02-18,-13%
2012-02-19 - 2012-02-25,-22%
2012-02-26 - 2012-03-03,-33%
2012-03-04 - 2012-03-10,-22%
2012-03-11 - 2012-03-17,-22%
2012-03-18 - 2012-03-24,-18%
2012-03-25 - 2012-03-31,+122%
2012-04-01 - 2012-04-07,+22%
2012-04-08 - 2012-04-14,-11%
2012-04-15 - 2012-04-21,-11%
2012-04-22 - 2012-04-28,-24%
2012-04-29 - 2012-05-05,-7%
2012-05-06 - 2012-05-12,-18%
2012-05-13 - 2012-05-19,-20%
2012-05-20 - 2012-05-26,-20%
2012-05-27 - 2012-06-02,-22%
2012-06-03 - 2012-06-09,-16%
2012-06-10 - 2012-06-16,-13%
2012-06-17 - 2012-06-23,-20%
2012-06-24 - 2012-06-30,-11%
2012-07-01 - 2012-07-07,+7%
2012-07-08 - 2012-07-14,-7%
2012-07-15 - 2012-07-21,-7%
2012-07-22 - 2012-07-28,-11%
2012-07-29 - 2012-08-04,+22%
2012-08-05 - 2012-08-11,+4%
2012-08-12 - 2012-08-18,-2%
2012-08-19 - 2012-08-25,-9%
2012-08-26 - 2012-09-01,-20%
2012-09-02 - 2012-09-08,-22%
2012-09-09 - 2012-09-15,-29%
2012-09-16 - 2012-09-22,-20%
2012-09-23 - 2012-09-29,-22%
2012-09-30 - 2012-10-06,-31%
2012-10-07 - 2012-10-13,-9%
2012-10-14 - 2012-10-20,-11%
2012-10-21 - 2012-10-27,-11%
2012-10-28 - 2012-11-03,-11%
2012-11-04 - 2012-11-10,-33%
2012-11-11 - 2012-11-17,-16%
2012-11-18 - 2012-11-24,-13%
2012-11-25 - 2012-12-01,+27%
2012-12-02 - 2012-12-08,-16%
2012-12-09 - 2012-12-15,-16%
2012-12-16 - 2012-12-22,-4%
2012-12-23 - 2012-12-29,+24%
2012-12-30 - 2013-01-05,-4%



Top searches
mega millions,100
lottery,95
dog,80
armstrong,80
lance armstrong,80
powerball,70
christmas,55
wedding,40
phelps,40
marathon,35
powerball numbers,35
mega millions numbers,35
michael phelps,30
dogs,30
boeing,25
santa tracker,25
lion,25
zoo,25
cat,25
norad santa tracker,25



Rising searches
curiosity,+1,550%
michael phelps,+550%
phelps,+550%
powerball numbers,+400%
powerball,+350%
norad santa tracker,+250%
santa tracker,+160%
lance armstrong,+150%
armstrong,+140%
atlantic city,+100%



