News Search interest
United States; 2012

Interest over time
Week,Games
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+4%
2012-01-15 - 2012-01-21,-4%
2012-01-22 - 2012-01-28,+7%
2012-01-29 - 2012-02-04,+11%
2012-02-05 - 2012-02-11,+7%
2012-02-12 - 2012-02-18,+14%
2012-02-19 - 2012-02-25,+14%
2012-02-26 - 2012-03-03,+14%
2012-03-04 - 2012-03-10,+36%
2012-03-11 - 2012-03-17,+29%
2012-03-18 - 2012-03-24,+36%
2012-03-25 - 2012-03-31,+257%
2012-04-01 - 2012-04-07,+71%
2012-04-08 - 2012-04-14,+21%
2012-04-15 - 2012-04-21,+11%
2012-04-22 - 2012-04-28,+21%
2012-04-29 - 2012-05-05,+61%
2012-05-06 - 2012-05-12,+29%
2012-05-13 - 2012-05-19,+46%
2012-05-20 - 2012-05-26,+18%
2012-05-27 - 2012-06-02,+25%
2012-06-03 - 2012-06-09,+57%
2012-06-10 - 2012-06-16,+18%
2012-06-17 - 2012-06-23,+18%
2012-06-24 - 2012-06-30,+7%
2012-07-01 - 2012-07-07,+4%
2012-07-08 - 2012-07-14,+7%
2012-07-15 - 2012-07-21,-4%
2012-07-22 - 2012-07-28,-4%
2012-07-29 - 2012-08-04,+0%
2012-08-05 - 2012-08-11,+0%
2012-08-12 - 2012-08-18,+32%
2012-08-19 - 2012-08-25,+14%
2012-08-26 - 2012-09-01,+14%
2012-09-02 - 2012-09-08,+7%
2012-09-09 - 2012-09-15,+11%
2012-09-16 - 2012-09-22,+18%
2012-09-23 - 2012-09-29,+18%
2012-09-30 - 2012-10-06,+14%
2012-10-07 - 2012-10-13,+14%
2012-10-14 - 2012-10-20,+7%
2012-10-21 - 2012-10-27,+4%
2012-10-28 - 2012-11-03,-14%
2012-11-04 - 2012-11-10,-7%
2012-11-11 - 2012-11-17,+18%
2012-11-18 - 2012-11-24,+25%
2012-11-25 - 2012-12-01,+154%
2012-12-02 - 2012-12-08,+11%
2012-12-09 - 2012-12-15,-14%
2012-12-16 - 2012-12-22,-4%
2012-12-23 - 2012-12-29,+29%
2012-12-30 - 2013-01-05,+11%



Top searches
xbox,100
powerball,90
games,85
mega millions,60
wii,60
lottery,60
ps3,55
wii u,50
halo,50
skyrim,50
black ops 2,50
diablo,45
halo 4,40
mass effect,40
diablo 3,40
xbox 360,40
nintendo,35
mass effect 3,30
gta,30
playstation,30



Rising searches
black ops 2,+2,700%
halo 4,+400%
minecraft,+400%
powerball,+400%
wii u,+250%
gta,+170%
halo,+150%
diablo,+140%
diablo 3,+140%
mass effect 3,+120%



