YouTube Search interest
United States; 2011

Interest over time
Week,News
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+1%
2011-01-16 - 2011-01-22,+0%
2011-01-23 - 2011-01-29,-4%
2011-01-30 - 2011-02-05,-3%
2011-02-06 - 2011-02-12,-5%
2011-02-13 - 2011-02-19,-3%
2011-02-20 - 2011-02-26,-7%
2011-02-27 - 2011-03-05,+28%
2011-03-06 - 2011-03-12,+33%
2011-03-13 - 2011-03-19,+5%
2011-03-20 - 2011-03-26,+7%
2011-03-27 - 2011-04-02,-1%
2011-04-03 - 2011-04-09,+7%
2011-04-10 - 2011-04-16,-4%
2011-04-17 - 2011-04-23,-5%
2011-04-24 - 2011-04-30,+11%
2011-05-01 - 2011-05-07,+8%
2011-05-08 - 2011-05-14,-8%
2011-05-15 - 2011-05-21,-8%
2011-05-22 - 2011-05-28,-9%
2011-05-29 - 2011-06-04,-13%
2011-06-05 - 2011-06-11,-1%
2011-06-12 - 2011-06-18,-8%
2011-06-19 - 2011-06-25,-5%
2011-06-26 - 2011-07-02,+0%
2011-07-03 - 2011-07-09,-3%
2011-07-10 - 2011-07-16,+7%
2011-07-17 - 2011-07-23,+16%
2011-07-24 - 2011-07-30,+32%
2011-07-31 - 2011-08-06,+5%
2011-08-07 - 2011-08-13,+4%
2011-08-14 - 2011-08-20,+11%
2011-08-21 - 2011-08-27,+3%
2011-08-28 - 2011-09-03,+4%
2011-09-04 - 2011-09-10,+1%
2011-09-11 - 2011-09-17,+3%
2011-09-18 - 2011-09-24,+5%
2011-09-25 - 2011-10-01,+1%
2011-10-02 - 2011-10-08,+8%
2011-10-09 - 2011-10-15,+4%
2011-10-16 - 2011-10-22,+11%
2011-10-23 - 2011-10-29,+3%
2011-10-30 - 2011-11-05,-4%
2011-11-06 - 2011-11-12,+0%
2011-11-13 - 2011-11-19,-3%
2011-11-20 - 2011-11-26,-1%
2011-11-27 - 2011-12-03,-3%
2011-12-04 - 2011-12-10,-1%
2011-12-11 - 2011-12-17,-1%
2011-12-18 - 2011-12-24,-4%
2011-12-25 - 2011-12-31,-5%



Top searches
miley cyrus,100
beyonce,95
charlie sheen,70
amy winehouse,60
britney spears,60
news,60
ellen,55
jennifer lopez,50
donald trump,50
kim kardashian,40
ron paul,40
obama,35
mac miller,35
selena gomez,30
demi lovato,30
ellen degeneres,30
gabriel iglesias,25
hannah montana,25
stevie wonder,25
cristiano ronaldo,20



Rising searches
charlie sheen,Breakout
charlie sheen interview,Breakout
donald trump,Breakout
mac miller,Breakout
beyonce,+600%
amy winehouse,+450%
rehab amy winehouse,+450%
ron paul,+350%
jennifer lopez,+300%
boyfriend,+90%



