Web Search interest
United States; Past 7 days

Interest over time
Day,Science
2014-09-11,+0%
2014-09-12,-7%
2014-09-13,-34%
2014-09-14,-31%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
math,100
science,50
java,40
calculator,30
periodic table,30
northern lights,25
cool math,25
chemistry,25
windows 7,25
biology,20
physics,20
algebra,20
spider,15
aurora borealis,15
animals,15
wolfram,15
dna,15
javascript,15
brain,15
multiplication,10



Rising searches
aurora borealis forecast,Breakout
northern lights forecast,Breakout
solar flare 2014,Breakout
solar storm,Breakout
solar flare,+3,400%
aurora borealis,+2,550%
northern lights,+2,300%
solar flares,+2,250%
aurora forecast,+1,900%
spinosaurus,+950%



