Web Search interest
United States; Past 7 days

Interest over time
Day,Reference
2014-09-11,+0%
2014-09-12,-7%
2014-09-13,-24%
2014-09-14,-19%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
craigslist,100
google,50
maps,30
quotes,25
translate,25
definition,25
map,20
google maps,15
google translate,15
library,10
dictionary,10
calendar,10
translator,5
history,5
calculator,5
thesaurus,5
translation,5
bing,5
synonyms,5
directions,5



Rising searches
9/11 quotes,Breakout
9/11 timeline,Breakout
solar storm 2014,Breakout
9/11,+1,100%
rob ford,+800%
the roosevelts,+400%
craigslist grand rapids,+50%
technic launcher,+50%
craigslist alabama,+40%
mexican flag,+40%



