Image Search interest
United States; Past 90 days

Interest over time
Day,Health
2014-06-19,+0%
2014-06-20,+0%
2014-06-21,-10%
2014-06-22,-10%
2014-06-23,-1%
2014-06-24,+7%
2014-06-25,+3%
2014-06-26,+3%
2014-06-27,+3%
2014-06-28,-8%
2014-06-29,-9%
2014-06-30,+1%
2014-07-01,+0%
2014-07-02,+1%
2014-07-03,-1%
2014-07-04,-16%
2014-07-05,-10%
2014-07-06,-8%
2014-07-07,-1%
2014-07-08,+4%
2014-07-09,+2%
2014-07-10,+6%
2014-07-11,-2%
2014-07-12,-7%
2014-07-13,-13%
2014-07-14,-1%
2014-07-15,+2%
2014-07-16,+6%
2014-07-17,+2%
2014-07-18,-4%
2014-07-19,-10%
2014-07-20,-10%
2014-07-21,-1%
2014-07-22,+3%
2014-07-23,+2%
2014-07-24,+2%
2014-07-25,-1%
2014-07-26,-8%
2014-07-27,-12%
2014-07-28,-2%
2014-07-29,+1%
2014-07-30,+3%
2014-07-31,+2%
2014-08-01,+2%
2014-08-02,+12%
2014-08-03,-3%
2014-08-04,+3%
2014-08-05,+7%
2014-08-06,+6%
2014-08-07,+9%
2014-08-08,+2%
2014-08-09,-10%
2014-08-10,-7%
2014-08-11,-3%
2014-08-12,-3%
2014-08-13,+1%
2014-08-14,-1%
2014-08-15,-3%
2014-08-16,-9%
2014-08-17,-9%
2014-08-18,+3%
2014-08-19,+4%
2014-08-20,+4%
2014-08-21,+7%
2014-08-22,+6%
2014-08-23,-6%
2014-08-24,-10%
2014-08-25,-1%
2014-08-26,+4%
2014-08-27,+7%
2014-08-28,+7%
2014-08-29,-1%
2014-08-30,-9%
2014-08-31,-10%
2014-09-01,-16%
2014-09-02,-3%
2014-09-03,-6%
2014-09-04,+4%
2014-09-05,+7%
2014-09-06,-6%
2014-09-07,-9%
2014-09-08,+2%
2014-09-09,+3%
2014-09-10,+7%
2014-09-11,+3%
2014-09-12,+1%
2014-09-13,-7%
2014-09-14,-8%
2014-09-15,+4%
2014-09-16,+10%
2014-09-17, 
2014-09-18, 



Top searches
weed,100
teeth,80
fat,65
cancer,65
eye,55
herpes,55
ebola,45
glasses,45
pain,40
heart,40
eyes,35
braces,30
marijuana,30
hospital,30
ear,30
medical,25
tooth,25
knee,20
doctor,20
safety,20



Rising searches
paul george,Breakout
paul george injury,Breakout
paul george leg,Breakout
ebola,+850%
ebola virus,+750%
joan rivers,+600%
crazy eyes,+120%
wasp,+100%
safety,+70%
flea,+60%



