News Search interest
United States; 2008

Interest over time
Week,Arts & Entertainment
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+33%
2008-01-20 - 2008-01-26,+13%
2008-01-27 - 2008-02-02,+9%
2008-02-03 - 2008-02-09,-4%
2008-02-10 - 2008-02-16,+48%
2008-02-17 - 2008-02-23,+30%
2008-02-24 - 2008-03-01,+72%
2008-03-02 - 2008-03-08,+33%
2008-03-09 - 2008-03-15,+13%
2008-03-16 - 2008-03-22,+0%
2008-03-23 - 2008-03-29,+26%
2008-03-30 - 2008-04-05,+28%
2008-04-06 - 2008-04-12,+39%
2008-04-13 - 2008-04-19,+37%
2008-04-20 - 2008-04-26,+33%
2008-04-27 - 2008-05-03,+65%
2008-05-04 - 2008-05-10,+26%
2008-05-11 - 2008-05-17,+48%
2008-05-18 - 2008-05-24,+85%
2008-05-25 - 2008-05-31,+30%
2008-06-01 - 2008-06-07,-4%
2008-06-08 - 2008-06-14,-4%
2008-06-15 - 2008-06-21,-4%
2008-06-22 - 2008-06-28,+30%
2008-06-29 - 2008-07-05,+13%
2008-07-06 - 2008-07-12,+31%
2008-07-13 - 2008-07-19,+39%
2008-07-20 - 2008-07-26,+61%
2008-07-27 - 2008-08-02,+24%
2008-08-03 - 2008-08-09,+13%
2008-08-10 - 2008-08-16,+6%
2008-08-17 - 2008-08-23,+28%
2008-08-24 - 2008-08-30,-20%
2008-08-31 - 2008-09-06,-41%
2008-09-07 - 2008-09-13,-24%
2008-09-14 - 2008-09-20,+7%
2008-09-21 - 2008-09-27,+43%
2008-09-28 - 2008-10-04,-9%
2008-10-05 - 2008-10-11,-7%
2008-10-12 - 2008-10-18,-6%
2008-10-19 - 2008-10-25,+17%
2008-10-26 - 2008-11-01,+15%
2008-11-02 - 2008-11-08,-41%
2008-11-09 - 2008-11-15,+15%
2008-11-16 - 2008-11-22,+30%
2008-11-23 - 2008-11-29,+24%
2008-11-30 - 2008-12-06,+9%
2008-12-07 - 2008-12-13,+13%
2008-12-14 - 2008-12-20,+20%
2008-12-21 - 2008-12-27,+22%
2008-12-28 - 2009-01-03,+15%



Top searches
idol,100
american idol,90
youtube,70
miley,70
dancing with stars,65
miley cyrus,65
spears,50
britney,50
britney spears,45
twilight,30
music,30
jolie,30
dark knight,30
angelina jolie,25
bigfoot,25
you tube,25
disney,25
lil wayne,20
jonas brothers,20
snl,20



Rising searches
twilight,Breakout
american idol,+3,600%
snl,+2,050%
idol,+1,700%
bigfoot,+600%
jonas brothers,+550%
miley,+300%
miley cyrus,+300%
dark knight,+250%
lil wayne,+250%



