Web Search interest
United States; 2004

Interest over time
Week,Online Communities
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+0%
2004-01-18 - 2004-01-24,+1%
2004-01-25 - 2004-01-31,+2%
2004-02-01 - 2004-02-07,-1%
2004-02-08 - 2004-02-14,-1%
2004-02-15 - 2004-02-21,+3%
2004-02-22 - 2004-02-28,-2%
2004-02-29 - 2004-03-06,-3%
2004-03-07 - 2004-03-13,+2%
2004-03-14 - 2004-03-20,-1%
2004-03-21 - 2004-03-27,+5%
2004-03-28 - 2004-04-03,-3%
2004-04-04 - 2004-04-10,-1%
2004-04-11 - 2004-04-17,+0%
2004-04-18 - 2004-04-24,-3%
2004-04-25 - 2004-05-01,-5%
2004-05-02 - 2004-05-08,-7%
2004-05-09 - 2004-05-15,-7%
2004-05-16 - 2004-05-22,-6%
2004-05-23 - 2004-05-29,-2%
2004-05-30 - 2004-06-05,-1%
2004-06-06 - 2004-06-12,-3%
2004-06-13 - 2004-06-19,-2%
2004-06-20 - 2004-06-26,+0%
2004-06-27 - 2004-07-03,-3%
2004-07-04 - 2004-07-10,+1%
2004-07-11 - 2004-07-17,-1%
2004-07-18 - 2004-07-24,-1%
2004-07-25 - 2004-07-31,-1%
2004-08-01 - 2004-08-07,-1%
2004-08-08 - 2004-08-14,-2%
2004-08-15 - 2004-08-21,+2%
2004-08-22 - 2004-08-28,+3%
2004-08-29 - 2004-09-04,+1%
2004-09-05 - 2004-09-11,+2%
2004-09-12 - 2004-09-18,-1%
2004-09-19 - 2004-09-25,-2%
2004-09-26 - 2004-10-02,-2%
2004-10-03 - 2004-10-09,-2%
2004-10-10 - 2004-10-16,+1%
2004-10-17 - 2004-10-23,-1%
2004-10-24 - 2004-10-30,-2%
2004-10-31 - 2004-11-06,-1%
2004-11-07 - 2004-11-13,+5%
2004-11-14 - 2004-11-20,+2%
2004-11-21 - 2004-11-27,+9%
2004-11-28 - 2004-12-04,+9%
2004-12-05 - 2004-12-11,+5%
2004-12-12 - 2004-12-18,+2%
2004-12-19 - 2004-12-25,+16%
2004-12-26 - 2005-01-01,+13%



Top searches
icons,100
wallpaper,80
chat,60
clip art,60
aim,50
buddy icons,50
torrent,40
clipart,40
icon,35
desktop,35
backgrounds,30
yahoo,30
women,30
aim icons,30
dating,25
aol,25
wallpapers,25
screensavers,25
free clip art,20
themes,20



Rising searches
facebook,Breakout
myspace,+450%
azureus,+300%
fusker,+250%
my space,+250%
ares,+140%
torrents,+140%
blogs,+70%
lime wire,+60%
fuse,+50%



