News Search interest
United States; 2008

Interest over time
Week,Books & Literature
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+161%
2008-01-20 - 2008-01-26,+61%
2008-01-27 - 2008-02-02,-11%
2008-02-03 - 2008-02-09,-46%
2008-02-10 - 2008-02-16,-25%
2008-02-17 - 2008-02-23,+129%
2008-02-24 - 2008-03-01,+25%
2008-03-02 - 2008-03-08,+32%
2008-03-09 - 2008-03-15,+29%
2008-03-16 - 2008-03-22,-25%
2008-03-23 - 2008-03-29,+25%
2008-03-30 - 2008-04-05,+32%
2008-04-06 - 2008-04-12,+21%
2008-04-13 - 2008-04-19,+121%
2008-04-20 - 2008-04-26,+36%
2008-04-27 - 2008-05-03,-36%
2008-05-04 - 2008-05-10,-25%
2008-05-11 - 2008-05-17,+36%
2008-05-18 - 2008-05-24,+39%
2008-05-25 - 2008-05-31,+154%
2008-06-01 - 2008-06-07,-11%
2008-06-08 - 2008-06-14,-29%
2008-06-15 - 2008-06-21,-32%
2008-06-22 - 2008-06-28,-32%
2008-06-29 - 2008-07-05,+7%
2008-07-06 - 2008-07-12,+25%
2008-07-13 - 2008-07-19,+257%
2008-07-20 - 2008-07-26,-14%
2008-07-27 - 2008-08-02,+175%
2008-08-03 - 2008-08-09,+4%
2008-08-10 - 2008-08-16,-14%
2008-08-17 - 2008-08-23,+93%
2008-08-24 - 2008-08-30,+64%
2008-08-31 - 2008-09-06,+71%
2008-09-07 - 2008-09-13,+7%
2008-09-14 - 2008-09-20,+146%
2008-09-21 - 2008-09-27,+11%
2008-09-28 - 2008-10-04,-29%
2008-10-05 - 2008-10-11,+7%
2008-10-12 - 2008-10-18,-18%
2008-10-19 - 2008-10-25,-18%
2008-10-26 - 2008-11-01,-18%
2008-11-02 - 2008-11-08,-32%
2008-11-09 - 2008-11-15,+0%
2008-11-16 - 2008-11-22,-7%
2008-11-23 - 2008-11-29,+7%
2008-11-30 - 2008-12-06,+82%
2008-12-07 - 2008-12-13,+61%
2008-12-14 - 2008-12-20,+54%
2008-12-21 - 2008-12-27,+4%
2008-12-28 - 2009-01-03,-7%



Top searches
harry,100
harry potter,100
martin luther king,35
harry-potter,20
book,20
books,15
foster wallace,15
david foster wallace,15
sarah palin biography,15
new yorker cover,10
prince caspian,10
quotes,10
new yorker obama,10
new york magazine,10
harry potter movie,10
half blood prince,10
narnia,10
marilyn monroe,10
rowling,5
leryn franco,5



Rising searches
david foster wallace,Breakout
foster wallace,Breakout
new yorker cover,Breakout
new yorker obama,Breakout
sarah palin biography,Breakout
new york magazine,+1,550%
prince caspian,+1,300%
martin luther king,+650%
narnia,+500%
marilyn monroe,+350%



