News Search interest
United States; Past 90 days

Interest over time
Day,Autos & Vehicles
2014-06-19,+0%
2014-06-20,+4%
2014-06-21,-6%
2014-06-22,-14%
2014-06-23,-7%
2014-06-24,-14%
2014-06-25,-9%
2014-06-26,-14%
2014-06-27,-7%
2014-06-28,-10%
2014-06-29,-9%
2014-06-30,-7%
2014-07-01,+6%
2014-07-02,+11%
2014-07-03,+1%
2014-07-04,-14%
2014-07-05,-7%
2014-07-06,-10%
2014-07-07,-13%
2014-07-08,-14%
2014-07-09,-19%
2014-07-10,-10%
2014-07-11,-11%
2014-07-12,-10%
2014-07-13,-13%
2014-07-14,-3%
2014-07-15,-4%
2014-07-16,+1%
2014-07-17,+1%
2014-07-18,-3%
2014-07-19,+0%
2014-07-20,-4%
2014-07-21,-4%
2014-07-22,-7%
2014-07-23,-7%
2014-07-24,+0%
2014-07-25,+9%
2014-07-26,+14%
2014-07-27,-3%
2014-07-28,-1%
2014-07-29,-3%
2014-07-30,-4%
2014-07-31,+0%
2014-08-01,+41%
2014-08-02,+24%
2014-08-03,+41%
2014-08-04,+37%
2014-08-05,-1%
2014-08-06,-4%
2014-08-07,-3%
2014-08-08,-9%
2014-08-09,-1%
2014-08-10,-4%
2014-08-11,-13%
2014-08-12,-14%
2014-08-13,-7%
2014-08-14,-4%
2014-08-15,-1%
2014-08-16,-1%
2014-08-17,-6%
2014-08-18,-11%
2014-08-19,-9%
2014-08-20,-17%
2014-08-21,-11%
2014-08-22,-10%
2014-08-23,-4%
2014-08-24,-16%
2014-08-25,-13%
2014-08-26,-4%
2014-08-27,-4%
2014-08-28,-4%
2014-08-29,-10%
2014-08-30,-4%
2014-08-31,-9%
2014-09-01,-16%
2014-09-02,-13%
2014-09-03,-4%
2014-09-04,+14%
2014-09-05,+43%
2014-09-06,+7%
2014-09-07,-11%
2014-09-08,-7%
2014-09-09,-17%
2014-09-10,-14%
2014-09-11,-17%
2014-09-12,-6%
2014-09-13,-6%
2014-09-14,-20%
2014-09-15,-6%
2014-09-16,-4%
2014-09-17, 
2014-09-18, 



Top searches
tesla,100
tesla motors,95
ford,70
car,60
toyota,50
honda,45
cars,40
auto,35
general motors,35
bmw,30
nissan,30
dodge,30
subaru,25
moto,25
jeep,20
boeing,20
motorcycle,20
alibaba,20
audi,20
mustang,20



Rising searches
christy mack,+1,600%
challenger hellcat,+650%
hellcat,+600%
outlander,+450%
tesla motors,+250%
moto 360,+200%
tesla,+200%
motorcycles,+90%
moto,+70%
microsoft corporation,+50%



