Web Search interest
United States; Past 12 months

Interest over time
Week,Health
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+3%
2013-09-29 - 2013-10-05,+4%
2013-10-06 - 2013-10-12,+1%
2013-10-13 - 2013-10-19,+2%
2013-10-20 - 2013-10-26,+4%
2013-10-27 - 2013-11-02,+2%
2013-11-03 - 2013-11-09,+2%
2013-11-10 - 2013-11-16,+3%
2013-11-17 - 2013-11-23,-1%
2013-11-24 - 2013-11-30,-15%
2013-12-01 - 2013-12-07,-4%
2013-12-08 - 2013-12-14,-3%
2013-12-15 - 2013-12-21,-9%
2013-12-22 - 2013-12-28,-19%
2013-12-29 - 2014-01-04,-6%
2014-01-05 - 2014-01-11,+5%
2014-01-12 - 2014-01-18,+8%
2014-01-19 - 2014-01-25,+2%
2014-01-26 - 2014-02-01,+1%
2014-02-02 - 2014-02-08,-1%
2014-02-09 - 2014-02-15,-1%
2014-02-16 - 2014-02-22,+5%
2014-02-23 - 2014-03-01,+5%
2014-03-02 - 2014-03-08,+3%
2014-03-09 - 2014-03-15,+2%
2014-03-16 - 2014-03-22,+1%
2014-03-23 - 2014-03-29,+6%
2014-03-30 - 2014-04-05,+6%
2014-04-06 - 2014-04-12,+5%
2014-04-13 - 2014-04-19,+2%
2014-04-20 - 2014-04-26,+5%
2014-04-27 - 2014-05-03,+3%
2014-05-04 - 2014-05-10,+5%
2014-05-11 - 2014-05-17,+2%
2014-05-18 - 2014-05-24,+3%
2014-05-25 - 2014-05-31,-1%
2014-06-01 - 2014-06-07,+2%
2014-06-08 - 2014-06-14,-1%
2014-06-15 - 2014-06-21,+0%
2014-06-22 - 2014-06-28,+1%
2014-06-29 - 2014-07-05,-3%
2014-07-06 - 2014-07-12,+1%
2014-07-13 - 2014-07-19,+4%
2014-07-20 - 2014-07-26,+4%
2014-07-27 - 2014-08-02,+6%
2014-08-03 - 2014-08-09,+6%
2014-08-10 - 2014-08-16,+2%
2014-08-17 - 2014-08-23,+5%
2014-08-24 - 2014-08-30,+1%
2014-08-31 - 2014-09-06,+2%
2014-09-07 - 2014-09-13,+2%
2014-09-14 - 2014-09-20,-15%



Top searches
dr,100
walgreens,50
heart,40
weed,35
cvs,25
marijuana,25
diabetes,25
blood pressure,25
walmart,20
depression,15
herpes,15
partner bpage imps,15
patient,15
urgent care,15
webmd,15
diarrhea,15
autism,10
rite aid,10
ebola,10
yeast infection,10



Rising searches
5676977,Breakout
ebola,+1,800%
ebola virus,+1,350%
als disease,+300%
oil pulling,+250%
twitch,+110%
24h,+70%
measles,+70%
sleep paralysis,+60%
isagenix,+50%



